row_label_raw,row_label_full,Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đang thực hiện > Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đã hoàn thành,Năm nay > 3.313.026.254.512 > 1.597.751.883.734,VNDNăm trước > 976.316.302.178 > 2.405.170.518.394,numeric__Năm nay > 3.313.026.254.512 > 1.597.751.883.734,numeric__VNDNăm trước > 976.316.302.178 > 2.405.170.518.394
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.910.778.138.246,3.381.486.820.572,4910778138246.0,3381486820572.0
Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,6.665.032.184.953,7.396.161.097.763,6665032184953.0,7396161097763.0
