row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ sử dụng cho công trình xây dựng","Ngắn hạn > Công cụ, dụng cụ sử dụng cho công trình xây dựng","Công cụ, dụng cụ sử dụng cho công trình xây dựng",28.676.992.071,15.577.576.526,28676992071.0,15577576526.0
Phí bảo lãnh,Ngắn hạn > Phí bảo lãnh,Phí bảo lãnh,2.029.202.273,944.169.253,2029202273.0,944169253.0
Khác,Ngắn hạn > Khác,Khác,6.621.465.932,6.256.131.517,6621465932.0,6256131517.0
,,,37.327.660.276,22.777.877.296,37327660276.0,22777877296.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
"Công cụ, dụng cụ sử dụng cho công trình xây dựng","Dải hạn > Công cụ, dụng cụ sử dụng cho công trình xây dựng","Công cụ, dụng cụ sử dụng cho công trình xây dựng",100.129.113.903,39.533.303.511,100129113903.0,39533303511.0
"Chi phí môi giới, tiếp thị","Dải hạn > Chi phí môi giới, tiếp thị","Chi phí môi giới, tiếp thị",27.042.160.045,-,27042160045.0,
Phí bảo lãnh,Dải hạn > Phí bảo lãnh,Phí bảo lãnh,12.229.487.364,6.901.641.002,12229487364.0,6901641002.0
Tiền thuê đất trả trước,Dải hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,5.860.198.321,5.998.628.202,5860198321.0,5998628202.0
Khác,Dải hạn > Khác,Khác,10.615.915.884,10.230.182.281,10615915884.0,10230182281.0
,,,155.876.875.517,62.663.754.996,155876875517.0,62663754996.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,193.204.535.793,85.441.632.292,193204535793.0,85441632292.0
