row_label_raw,row_label_full,Năm trước > Số dư đầu năm > - Tăng vốn trong năm,Vốn cổ phần đã phát hành > 1.550.000.000.000 > 770.000.000.000,Thặng dư vốn cổ phần > 66.378.000.000 > 615.729.724.760,Cổ phiếu quỹ > (5.025.000.000) > -,Quỹ đầu tư phát triển > 139.656.441.276 > -,Lợi nhuận sau thuế chưa phân phối > 335.013.050.509 > -,Tổng cộng > 2.086.022.491.785 > 1.385.729.724.760,numeric__Vốn cổ phần đã phát hành > 1.550.000.000.000 > 770.000.000.000,numeric__Thặng dư vốn cổ phần > 66.378.000.000 > 615.729.724.760,numeric__Cổ phiếu quỹ > (5.025.000.000) > -,numeric__Quỹ đầu tư phát triển > 139.656.441.276 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 335.013.050.509 > -,numeric__Tổng cộng > 2.086.022.491.785 > 1.385.729.724.760
- Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu,- Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu,- Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu,348.000.000.000,(66.378.000.000),-,(139.656.441.276),(141.965.558.724),-,348000000000.0,-66378000000.0,,-139656441276.0,-141965558724.0,
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,369.308.348.713,369.308.348.713,,,,,369308348713.0,369308348713.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,(232.000.000.000),(232.000.000.000),,,,,-232000000000.0,-232000000000.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,(12.110.131.000),(12.110.131.000),,,,,-12110131000.0,-12110131000.0
- Bán cổ phiếu quỹ,- Bán cổ phiếu quỹ,- Bán cổ phiếu quỹ,-,6.608.000.000,5.025.000.000,-,-,11.633.000.000,,6608000000.0,5025000000.0,,,11633000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,2.668.000.000.000,622.337.724.760,-,-,318.245.709.498,3.608.583.434.258,2668000000000.0,622337724760.0,,,318245709498.0,3608583434258.0
Năm nay,Năm nay,Năm nay,,,,,,,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,2.668.000.000.000,622.337.724.760,-,-,318.245.709.498,3.608.583.434.258,2668000000000.0,622337724760.0,,,318245709498.0,3608583434258.0
- Tăng vốn trong năm (*),Năm nay > - Tăng vốn trong năm (*),- Tăng vốn trong năm (*),720.000.000.000,547.112.000.000,-,-,-,1.267.112.000.000,720000000000.0,547112000000.0,,,,1267112000000.0
- Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu (**),Năm nay > - Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu (**),- Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu (**),677.600.000.000,(622.337.724.760),-,-,(55.262.275.240),-,677600000000.0,-622337724760.0,,,-55262275240.0,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,257.750.976.711,257.750.976.711,,,,,257750976711.0,257750976711.0
- Trích quỹ khen thưởng phúc lợi (***),Năm nay > - Trích quỹ khen thưởng phúc lợi (***),- Trích quỹ khen thưởng phúc lợi (***),-,-,-,-,(9.600.000.000),(9.600.000.000),,,,,-9600000000.0,-9600000000.0
- Chia cổ tức (****),Năm nay > - Chia cổ tức (****),- Chia cổ tức (****),-,-,-,-,(338.800.000.000),(338.800.000.000),,,,,-338800000000.0,-338800000000.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,4.065.600.000.000,547.112.000.000,-,-,172.334.410.969,4.785.046.410.969,4065600000000.0,547112000000.0,,,172334410969.0,4785046410969.0
