row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính:VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính:VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,146.071.732.733,32.772.777.846,12.293.260.909,18.594.131.971,209.731.903.459,146071732733.0,32772777846.0,12293260909.0,18594131971.0,209731903459.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,-,-,1.322.321.000,1.322.321.000,,,,1322321000.0,1322321000.0
- Chuyển sang bắt động sảnđầu tư (Thuyết minh số 13),Nguyên giá: > - Chuyển sang bắt động sảnđầu tư (Thuyết minh số 13),- Chuyển sang bắt động sảnđầu tư (Thuyết minh số 13),(19.867.126.145),(2.783.909.018),-,(9.238.234.651),(31.889.269.814),-19867126145.0,-2783909018.0,,-9238234651.0,-31889269814.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(5.138.560.000),-,(5.138.560.000),,,-5138560000.0,,-5138560000.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,126.204.606.588,29.988.868.828,7.154.700.909,10.678.218.320,174.026.394.645,126204606588.0,29988868828.0,7154700909.0,10678218320.0,174026394645.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,38.259.479.779,21.166.449.247,3.734.250.000,481.309.864,63.641.488.890,38259479779.0,21166449247.0,3734250000.0,481309864.0,63641488890.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,70.062.028.307,24.336.444.101,5.793.202.128,4.626.932.594,104.818.607.130,70062028307.0,24336444101.0,5793202128.0,4626932594.0,104818607130.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,3.394.251.288,757.114.052,1.181.468.638,1.264.852.560,6.597.686.538,3394251288.0,757114052.0,1181468638.0,1264852560.0,6597686538.0
- Chuyển sang bắt động sảnđầu tư (Thuyết minh số 13),Giá trị khấu hao lũy kế: > - Chuyển sang bắt động sảnđầu tư (Thuyết minh số 13),- Chuyển sang bắt động sảnđầu tư (Thuyết minh số 13),(1.255.393.153),(485.053.503),-,(2.421.731.616),(4.162.178.272),-1255393153.0,-485053503.0,,-2421731616.0,-4162178272.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.324.246.818),-,(2.324.246.818),,,-2324246818.0,,-2324246818.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,72.200.886.442,24.608.504.650,4.650.423.948,3.470.053.538,104.929.868.578,72200886442.0,24608504650.0,4650423948.0,3470053538.0,104929868578.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,76.009.704.426,8.436.333.745,6.500.058.781,13.967.199.377,104.913.296.329,76009704426.0,8436333745.0,6500058781.0,13967199377.0,104913296329.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,54.003.720.146,5.380.364.178,2.504.276.961,7.208.164.782,69.096.526.067,54003720146.0,5380364178.0,2504276961.0,7208164782.0,69096526067.0
