row_label_raw,row_label_full,col_0,Nhà cửa.vật kiến trúc,Tài sản khác (*),Đơn vị tính: VNDTổng cộng,numeric__Nhà cửa.vật kiến trúc,numeric__Tài sản khác (*),numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,167.743.545.285,95.335.097.906,263.078.643.191,167743545285.0,95335097906.0,263078643191.0
- Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),Nguyên giá: > - Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),- Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),19.867.126.145,12.022.143.669,31.889.269.814,19867126145.0,12022143669.0,31889269814.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,187.610.671.430,107.357.241.575,294.967.913.005,187610671430.0,107357241575.0,294967913005.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,9.481.162.380,20.560.598.846,30.041.761.226,9481162380.0,20560598846.0,30041761226.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,3.620.325.527,10.037.674.020,13.657.999.547,3620325527.0,10037674020.0,13657999547.0
- Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),Giá trị khấu hao lũy kế: > - Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),- Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),1.255.393.153,2.906.785.119,4.162.178.272,1255393153.0,2906785119.0,4162178272.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,14.356.881.060,33.505.057.985,47.861.939.045,14356881060.0,33505057985.0,47861939045.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,158.262.382.905,74.774.499.060,233.036.881.965,158262382905.0,74774499060.0,233036881965.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,173.253.790.370,73.852.183.590,247.105.973.960,173253790370.0,73852183590.0,247105973960.0
