row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,01/01/2018 > Giá trị,01/01/2018 > Số có khả năng trả nợ,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__01/01/2018 > Giá trị,numeric__01/01/2018 > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,260.283.446.003,260.283.446.003,981.433.366.214,1.012.033.828.884,290.883.908.673,290.883.908.673,260283446003.0,260283446003.0,981433366214.0,1012033828884.0,290883908673.0,290883908673.0
a1) Vay ngắn hạn,a1) Vay ngắn hạn,a1) Vay ngắn hạn,260.283.446.003,260.283.446.003,981.433.366.214,1.012.033.828.884,290.883.908.673,290.883.908.673,260283446003.0,260283446003.0,981433366214.0,1012033828884.0,290883908673.0,290883908673.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),90.283.446.003,90.283.446.003,751.433.366.214,952.033.828.884,290.883.908.673,290.883.908.673,90283446003.0,90283446003.0,751433366214.0,952033828884.0,290883908673.0,290883908673.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,-,-,60.000.000.000,60.000.000.000,-,-,,,60000000000.0,60000000000.0,,
Công ty CP Phát triển Nhà và Đô thị Phú Quốc (2),Công ty CP Phát triển Nhà và Đô thị Phú Quốc (2),Công ty CP Phát triển Nhà và Đô thị Phú Quốc (2),170.000.000.000,170.000.000.000,170.000.000.000,-,-,-,170000000000.0,170000000000.0,170000000000.0,,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,55.866.120.000,55.866.120.000,-,15.484.166.565,71.350.286.565,71.350.286.565,55866120000.0,55866120000.0,,15484166565.0,71350286565.0,71350286565.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,55.866.120.000,55.866.120.000,-,15.484.166.565,71.350.286.565,71.350.286.565,55866120000.0,55866120000.0,,15484166565.0,71350286565.0,71350286565.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (3),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (3),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (3),37.500.000.000,37.500.000.000,-,14.971.066.565,52.471.066.565,52.471.066.565,37500000000.0,37500000000.0,,14971066565.0,52471066565.0,52471066565.0
Vay cá nhân,Vay cá nhân,Vay cá nhân,18.366.120.000,18.366.120.000,-,513.100.000,18.879.220.000,18.879.220.000,18366120000.0,18366120000.0,,513100000.0,18879220000.0,18879220000.0
Nguyễn Xuân Thanh,Nguyễn Xuân Thanh,Nguyễn Xuân Thanh,-,-,-,500.000.000,500.000.000,500.000.000,,,,500000000.0,500000000.0,500000000.0
Phạm Ngọc Hiệp (4),Phạm Ngọc Hiệp (4),Phạm Ngọc Hiệp (4),4.032.900.000,4.032.900.000,-,13.100.000,4.046.000.000,4.046.000.000,4032900000.0,4032900000.0,,13100000.0,4046000000.0,4046000000.0
Tạ Thị Huyên (5),Tạ Thị Huyên (5),Tạ Thị Huyên (5),5.972.000.000,5.972.000.000,-,-,5.972.000.000,5.972.000.000,5972000000.0,5972000000.0,,,5972000000.0,5972000000.0
Vũ Thị Tố Lan (6),Vũ Thị Tố Lan (6),Vũ Thị Tố Lan (6),2.150.000.000,2.150.000.000,-,-,2.150.000.000,2.150.000.000,2150000000.0,2150000000.0,,,2150000000.0,2150000000.0
Hoàng Văn Sen (7),Hoàng Văn Sen (7),Hoàng Văn Sen (7),6.211.220.000,6.211.220.000,-,-,6.211.220.000,6.211.220.000,6211220000.0,6211220000.0,,,6211220000.0,6211220000.0
Tổng cộng,Tổng cộng,Tổng cộng,316.149.566.003,316.149.566.003,981.433.366.214,1.027.517.995.449,362.234.195.238,362.234.195.238,316149566003.0,316149566003.0,981433366214.0,1027517995449.0,362234195238.0,362234195238.0
