row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản cố địnhkhác,Đơn vị tính: VNDCộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNDCộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư ngày 01/01/2018,Nguyên giá > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,26.621.226.805,12.703.956.363,2.499.313.653,1.550.417.005,43.374.913.826,26621226805.0,12703956363.0,2499313653.0,1550417005.0,43374913826.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,498.692.272,-,762.650.727,-,1.261.342.999,498692272.0,,762650727.0,,1261342999.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(191.824.800),-,(521.131.651),-,(712.956.451),-191824800.0,,-521131651.0,,-712956451.0
Số dư ngày 31/12/2018,Nguyên giá > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,26.928.094.277,12.703.956.363,2.740.832.729,1.550.417.005,43.923.300.374,26928094277.0,12703956363.0,2740832729.0,1550417005.0,43923300374.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư ngày 01/01/2018,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,3.155.595.743,3.101.552.895,1.586.645.536,1.550.417.005,9.394.211.179,3155595743.0,3101552895.0,1586645536.0,1550417005.0,9394211179.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,1.149.600.067,1.636.771.824,367.392.711,-,3.153.764.602,1149600067.0,1636771824.0,367392711.0,,3153764602.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(54.350.360),-,(259.060.565),-,(313.410.925),-54350360.0,,-259060565.0,,-313410925.0
Số dư ngày 31/12/2018,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,4.250.845.450,4.738.324.719,1.694.977.682,1.550.417.005,12.234.564.856,4250845450.0,4738324719.0,1694977682.0,1550417005.0,12234564856.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
- Tại ngày 01/01/2018,Giá trị còn lại > - Tại ngày 01/01/2018,- Tại ngày 01/01/2018,23.465.631.062,9.602.403.468,912.668.117,-,33.980.702.647,23465631062.0,9602403468.0,912668117.0,,33980702647.0
- Tại ngày 31/12/2018,Giá trị còn lại > - Tại ngày 31/12/2018,- Tại ngày 31/12/2018,22.677.248.827,7.965.631.644,1.045.855.047,-,31.688.735.518,22677248827.0,7965631644.0,1045855047.0,,31688735518.0
