row_label_raw,row_label_full,STT,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2018,Đơn vị tính: VND Năm 2017,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2018,numeric__Đơn vị tính: VND Năm 2017
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,240.150.196.314,200.980.578.481,,1.0,,240150196314.0,200980578481.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,,,
-,2. > -,-,Khấu hao TSCĐ và BĐSDĐT,02,,8.531.919.905,9.942.245.517,,2.0,,8531919905.0,9942245517.0
-,2. > -,-,Các khoản dự phòng,03,,27.777.328.021,2.341.058.655,,3.0,,27777328021.0,2341058655.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,42.955.300,(4.636.529),,4.0,,42955300.0,-4636529.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(106.206.541.131),(150.744.736.476),,5.0,,-106206541131.0,-150744736476.0
-,2. > -,-,Chi phí lãi vay,06,,23.171.241.479,19.152.218.687,,6.0,,23171241479.0,19152218687.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,193.467.099.888,81.666.728.335,,8.0,,193467099888.0,81666728335.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,(73.358.441.862),(3.196.725.854),,9.0,,-73358441862.0,-3196725854.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(171.271.075.644),(39.036.670.260),,10.0,,-171271075644.0,-39036670260.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,(160.507.350),(4.161.271.841),,11.0,,-160507350.0,-4161271841.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,(2.453.376.419),643.517.248,,12.0,,-2453376419.0,643517248.0
-,2. > -,-,Tiền lãi vay đã trả,14,,(18.897.636.249),(19.753.631.570),,14.0,,-18897636249.0,-19753631570.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,(11.672.792.879),(17.383.829.249),,15.0,,-11672792879.0,-17383829249.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(5.777.928.000),(4.112.364.460),,17.0,,-5777928000.0,-4112364460.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(90.124.658.515),(5.334.247.651),,20.0,,-90124658515.0,-5334247651.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(25.971.849.928),(14.187.690.607),,21.0,,-25971849928.0,-14187690607.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,124.688.158.697,-,,22.0,,124688158697.0,
2.,II. > 2.,2.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(130.000.000.000),(336.200.000.000),,23.0,,-130000000000.0,-336200000000.0
3.,II. > 3.,3.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,400.000.000.000,36.200.000.000,,24.0,,400000000000.0,36200000000.0
4.,II. > 4.,4.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(167.000.000.000),(246.300.000.000),,25.0,,-167000000000.0,-246300000000.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,26,,-,2.000.000.000,,26.0,,,2000000000.0
6.,II. > 6.,6.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,107.781.218.086,87.464.976.198,,27.0,,107781218086.0,87464976198.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,309.497.526.855,(471.022.714.409),,30.0,,309497526855.0,-471022714409.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,-,514.679.970.000,,31.0,,,514679970000.0
2.,III. > 2.,2.,Tiền thu từ đi vay,33,,966.462.299.649,922.738.498.515,,33.0,,966462299649.0,922738498515.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,,(1.012.546.928.884),(835.193.094.693),,34.0,,-1012546928884.0,-835193094693.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(154.412.997.000),(102.926.988.000),,36.0,,-154412997000.0,-102926988000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(200.497.626.235),499.298.385.822,,40.0,,-200497626235.0,499298385822.0
,,,Lưu chuyển tiền thuần trong kỳ (50=20+30+40),50,,18.875.242.105,22.941.423.762,,50.0,,18875242105.0,22941423762.0
,,,Tiền và tương đương tiền đầu kỳ,60,,24.281.333.152,1.339.907.888,,60.0,,24281333152.0,1339907888.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,24.038,1.502,,61.0,,24038.0,1502.0
,,,Tiền và tương đương tiền cuối kỳ (70=50+60+61),70,V.01,43.156.599.295,24.281.333.152,,70.0,,43156599295.0,24281333152.0
,,,,,,"Hà Nội, ngày 25 tháng 02 năm 2019","Hà Nội, ngày 25 tháng 02 năm 2019",,,,,
,,,,,,CÔNG TY CỔ PHẠN TẠP DOẠN C.E.O,CÔNG TY CỔ PHẠN TẠP DOẠN C.E.O,,,,,
,,,Người lập biểu,,,,,,,,,
,,,,Kế toán trưởng,Kế toán trưởng,Tổng Giám đốc,Tổng Giám đốc,,,,,
