row_label_raw,row_label_full,Khoản mục,"Bản quyền, bản sáng chế","Chương trình, phần mềm",Nhăn hiệu hàng hóa quốc tế,Tổng cộng,"numeric__Bản quyền, bản sáng chế","numeric__Chương trình, phần mềm",numeric__Nhăn hiệu hàng hóa quốc tế,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2018,Nguyên giá > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,62.000.000,602.805.750,267.227.596,932.033.346,62000000.0,602805750.0,267227596.0,932033346.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,146.518.000,481.920.000,-,628.438.000,146518000.0,481920000.0,,628438000.0
Số dư ngày 31/12/2018,Nguyên giá > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,208.518.000,1.084.725.750,267.227.596,1.560.471.346,208518000.0,1084725750.0,267227596.0,1560471346.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư ngày 01/01/2018,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,62.000.000,363.540.481,267.227.596,692.768.077,62000000.0,363540481.0,267227596.0,692768077.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,12.209.832,145.411.111,-,157.620.943,12209832.0,145411111.0,,157620943.0
Số dư ngày 31/12/2018,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,74.209.832,508.951.592,267.227.596,850.389.020,74209832.0,508951592.0,267227596.0,850389020.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
- Tại ngày 01/01/2018,Giá trị còn lại > - Tại ngày 01/01/2018,- Tại ngày 01/01/2018,-,239.265.269,-,239.265.269,,239265269.0,,239265269.0
- Tại ngày 31/12/2018,Giá trị còn lại > - Tại ngày 31/12/2018,- Tại ngày 31/12/2018,134.308.168,575.774.158,-,710.082.326,134308168.0,575774158.0,,710082326.0
