row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2018,Đơn vị tính: VND01/01/2018,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018,numeric__Đơn vị tính: VND01/01/2018
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,688.030.808.971,698.688.773.138,300.0,,688030808971.0,698688773138.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,448.167.527.023,405.680.837.855,310.0,,448167527023.0,405680837855.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,V.12.,29.797.204.751,39.160.736.296,311.0,,29797204751.0,39160736296.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,V.13.,26.426.790.769,3.095.162.796,312.0,,26426790769.0,3095162796.0
3. Thuế và các khoản phải nộp nhà nước,3. Thuế và các khoản phải nộp nhà nước,3. Thuế và các khoản phải nộp nhà nước,313,V.14.,34.673.829.166,7.000.956.138,313.0,,34673829166.0,7000956138.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,4.925.358.664,-,314.0,,4925358664.0,
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,V.15.,15.249.902.007,19.826.067.121,315.0,,15249902007.0,19826067121.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,V.16.,14.260.454.995,17.071.384.754,318.0,,14260454995.0,17071384754.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,V.17.,36.260.990.102,5.457.646.693,319.0,,36260990102.0,5457646693.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,V.18.,260.283.446.003,290.883.908.673,320.0,,260283446003.0,290883908673.0
9. Quỹ khen thưởng phúc lợi,9. Quỹ khen thưởng phúc lợi,9. Quỹ khen thưởng phúc lợi,322,,26.289.550.566,23.184.975.384,322.0,,26289550566.0,23184975384.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,239.863.281.948,293.007.935.283,330.0,,239863281948.0,293007935283.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,336,V.16.,85.522.603.210,121.760.455.716,336.0,,85522603210.0,121760455716.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,337,V.17.,98.474.558.738,99.897.193.002,337.0,,98474558738.0,99897193002.0
3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,338,V.18.,55.866.120.000,71.350.286.565,338.0,,55866120000.0,71350286565.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,1.864.467.580.038,1.822.544.331.876,400.0,,1864467580038.0,1822544331876.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,V.19,1.864.467.580.038,1.822.544.331.876,410.0,,1864467580038.0,1822544331876.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,1.544.039.910.000,1.544.039.910.000,411.0,,1544039910000.0,1544039910000.0
- Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,411a,,1.544.039.910.000,1.544.039.910.000,,,1544039910000.0,1544039910000.0
2. Chênh lệch tỷ giá hối đoái,2. Chênh lệch tỷ giá hối đoái,2. Chênh lệch tỷ giá hối đoái,417,,-,,417.0,,,
3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,418,,61.385.000.777,52.502.497.595,418.0,,61385000777.0,52502497595.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,,259.042.669.261,226.001.924.281,421.0,,259042669261.0,226001924281.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,53.832.926.917,37.260.437.688,,,53832926917.0,37260437688.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,205.209.742.344,188.741.486.593,,,205209742344.0,188741486593.0
II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,430,,-,,430.0,,,
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400,TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400,TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400,440,,2.552.498.389.009,2.521.233.105.014,440.0,,2552498389009.0,2521233105014.0
