row_label_raw,row_label_full,Công ty TNHH MTV Phú Kiên Phú Quốc,40.978.520.881,-,numeric__40.978.520.881,numeric__-
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,3.293.582.727,-,3293582727.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,149.187.910,-,149187910.0,
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,233.839.521,-,233839521.0,
Vay,Vay,Vay,230.000.000.000,-,230000000000.0,
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,170.000.000.000,-,170000000000.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,60.000.000.000,-,60000000000.0,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,5.126.575.343,-,5126575343.0,
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,4.560.273.973,-,4560273973.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,566.301.370,-,566301370.0,
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,94.990.020.564,60.885.000.000,94990020564.0,60885000000.0
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,5.737.500.000,4.590.000.000,5737500000.0,4590000000.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,-,54.000.000.000,,54000000000.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,82.520.520.564,-,82520520564.0,
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,6.732.000.000,2.295.000.000,6732000000.0,2295000000.0
Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,198.692.720.211,-,198692720211.0,
Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,59.624.100.000,-,59624100000.0,
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,4.418.620.211,-,4418620211.0,
Trường cao đẳng Đại Việt,Trường cao đẳng Đại Việt,Trường cao đẳng Đại Việt,134.000.000.000,,134000000000.0,
Công ty CP Đầu tư và Phát triển Nam Cần Thơ,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,650.000.000,-,650000000.0,
Bán bất động sản đầu tư,Bán bất động sản đầu tư,Bán bất động sản đầu tư,140.425.575.283,-,140425575283.0,
Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,140.425.575.283,-,140425575283.0,
