row_label_raw,row_label_full,"Các khoản phải trả, phải nộp khác",28.541.156.469,256.423.483,numeric__28.541.156.469,numeric__256.423.483
Nguyễn Trọng Trực,Nguyễn Trọng Trực,Nguyễn Trọng Trực,186.269.000,186.269.000,186269000.0,186269000.0
Nhân viên công ty (thuế TNCN),Nhân viên công ty (thuế TNCN),Nhân viên công ty (thuế TNCN),70.398.018,64.604.270,70398018.0,64604270.0
Chi cục thuế huyện Quốc Oai (3),Chi cục thuế huyện Quốc Oai (3),Chi cục thuế huyện Quốc Oai (3),19.277.754.416,-,19277754416.0,
Công ty CP Đức Trí Tín Phú Quốc,Công ty CP Đức Trí Tín Phú Quốc,Công ty CP Đức Trí Tín Phú Quốc,3.383.281.000,-,3383281000.0,
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,4.560.273.973,-,4560273973.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.063.180.062,5.550.213,1063180062.0,5550213.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,98.474.558.738,99.897.193.002,98474558738.0,99897193002.0
"Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",6.917.046.962,9.393.501.652,6917046962.0,9393501652.0
Công ty TNHH Roche Việt Nam,Công ty TNHH Roche Việt Nam,Công ty TNHH Roche Việt Nam,532.569.805,532.569.805,532569805.0,532569805.0
Công ty TNHH DKSH Việt Nam - Chi nhánh Hà Nội,Công ty TNHH DKSH Việt Nam - Chi nhánh Hà Nội,Công ty TNHH DKSH Việt Nam - Chi nhánh Hà Nội,1.958.930.767,1.915.951.429,1958930767.0,1915951429.0
Phạm Thị Miền (1),Phạm Thị Miền (1),Phạm Thị Miền (1),3.110.000.000,5.790.000.000,3110000000.0,5790000000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.315.546.390,1.154.980.418,1315546390.0,1154980418.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",91.557.511.776,90.503.691.350,91557511776.0,90503691350.0
Phí bảo trì Dự án Chi Đông,Phí bảo trì Dự án Chi Đông,Phí bảo trì Dự án Chi Đông,1.321.506.153,1.315.788.903,1321506153.0,1315788903.0
Công ty TNHH C.E.O Quốc tế (2),Công ty TNHH C.E.O Quốc tế (2),Công ty TNHH C.E.O Quốc tế (2),86.700.000.000,86.700.000.000,86700000000.0,86700000000.0
Phí bảo trì dự án nhà ở xã hội,Phí bảo trì dự án nhà ở xã hội,Phí bảo trì dự án nhà ở xã hội,2.757.953.110,1.711.477.522,2757953110.0,1711477522.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,778.052.513,776.424.925,778052513.0,776424925.0
Cộng,Cộng,Cộng,134.735.548.840,105.354.839.695,134735548840.0,105354839695.0
