row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2016) > Tài sảnTriệu VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2016) > Công nợTriệu VND,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2016) > Tài sảnTriệu VND,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2016) > Công nợTriệu VND
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,475.481,-,(3.355),475481.0,,-3355.0
▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch hoán đổi tiền tệ,▪ Giao dịch hoán đổi tiền tệ,10.275.173,13.196,-,10275173.0,13196.0,
,,,10.750.654,13.196,(3.355),10750654.0,13196.0,-3355.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2015),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2015),,,
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Triệu VND,Tài sảnTriệu VND,Công nợTriệu VND,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,3.809.583,29.012,-,3809583.0,29012.0,
▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch hoán đổi tiền tệ,▪ Giao dịch hoán đổi tiền tệ,15.942.587,1.785,-,15942587.0,1785.0,
,,,19.752.170,30.797,-,19752170.0,30797.0,
