row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn dâu tưXDCB vàmua sắm TSCĐTriệu VND,Thặng dư vốncố phầnTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Lỗ lũy kếTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn dâu tưXDCB vàmua sắm TSCĐTriệu VND,numeric__Thặng dư vốncố phầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ dự trữbố sungvốn điều lệTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Lỗ lũy kếTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,12.355.229,15.396,156.322,(78.273),514.704,990.583,326,(834.560),13.119.727,12355229.0,15396.0,156322.0,-78273.0,514704.0,990583.0,326.0,-834560.0,13119727.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,39.994,39.994,,,,,,,,39994.0,39994.0
Điều chính cho các quỹ cho năm trước,Điều chính cho các quỹ cho năm trước,Điều chính cho các quỹ cho năm trước,-,-,-,-,(32),(65),-,97,-,,,,,-32.0,-65.0,,97.0,
Trích lập các quỹ cho năm nay,Trích lập các quỹ cho năm nay,Trích lập các quỹ cho năm nay,-,-,-,-,2.666,5.334,-,(8.000),-,,,,,2666.0,5334.0,,-8000.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,-,-,(15.000),(15.000),,,,,,,,-15000.0,-15000.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,12.355.229,15.396,156.322,(78.273),517.338,995.852,326,(817.469),13.144.721,12355229.0,15396.0,156322.0,-78273.0,517338.0,995852.0,326.0,-817469.0,13144721.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,308.932,308.932,,,,,,,,308932.0,308932.0
Trích lập các quỹ cho năm nay,Trích lập các quỹ cho năm nay,Trích lập các quỹ cho năm nay,-,-,-,-,15.371,30.741,-,(46.112),-,,,,,15371.0,30741.0,,-46112.0,
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(5.225),-,-,(5.225),,,,,,-5225.0,,,-5225.0
Hoàn nhập từ các quỹ đã được tríchlập cho các năm trước (*),Hoàn nhập từ các quỹ đã được tríchlập cho các năm trước (*),Hoàn nhập từ các quỹ đã được tríchlập cho các năm trước (*),-,-,-,-,(31.195),(60.354),-,91.549,-,,,,,-31195.0,-60354.0,,91549.0,
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,(9),(9),,,,,,,,-9.0,-9.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,12.355.229,15.396,156.322,(78.273),501.514,961.014,326,(463.109),13.448.419,12355229.0,15396.0,156322.0,-78273.0,501514.0,961014.0,326.0,-463109.0,13448419.0
