row_label_raw,row_label_full,Được phân loại là tài sản tài chính được xác định theo giá trị hợp lý thông qua báo cáo kết quả hoạt động kinh doanh: Các công cụ tài chính phải sinh và các tài sản tài chính khác > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn:,31/12/2016 > Giá trị ghi số Triệu VND > 9.841,31/12/2016 > Giá trị hợp lý Triệu VND > (*),31/12/2015 > Giá trị ghi số Triệu VND > 30.797,31/12/2015 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2016 > Giá trị ghi số Triệu VND > 9.841,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2015 > Giá trị ghi số Triệu VND > 30.797,numeric__31/12/2015 > Giá trị hợp lý Triệu VND > (*)
- Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,100.000,(*),150.042,(*),100000.0,,150042.0,
- Chứng khoán đầu tư giữ đến ngày đáo hạn khác,- Chứng khoán đầu tư giữ đến ngày đáo hạn khác,- Chứng khoán đầu tư giữ đến ngày đáo hạn khác,10.707.617,(*),15.010.858,(*),10707617.0,,15010858.0,
Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,,,,,,,,
- Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Được phân loại là các khoản cho vay và phải thu: > - Tiền gửi tại Ngân hàng Nhà nước Việt Nam,- Tiền gửi tại Ngân hàng Nhà nước Việt Nam,3.765.279,3.765.279,2.716.264,2.716.264,3765279.0,3765279.0,2716264.0,2716264.0
- Tiền gửi và cho vay các tổ chức tín dụng khác,Được phân loại là các khoản cho vay và phải thu: > - Tiền gửi và cho vay các tổ chức tín dụng khác,- Tiền gửi và cho vay các tổ chức tín dụng khác,8.281.291,(*),7.833.274,(*),8281291.0,,7833274.0,
- Cho vay khách hàng,Được phân loại là các khoản cho vay và phải thu: > - Cho vay khách hàng,- Cho vay khách hàng,85.824.814,(*),83.889.887,(*),85824814.0,,83889887.0,
- Các khoản phải thu,Được phân loại là các khoản cho vay và phải thu: > - Các khoản phải thu,- Các khoản phải thu,567.767,(*),632.927,(*),567767.0,,632927.0,
"- Các khoản lãi, phí phải thu","Được phân loại là các khoản cho vay và phải thu: > - Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",840.414,(*),992.436,(*),840414.0,,992436.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,,,,,,,,
- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Trái phiếu Chính phủ có giá niêm yết,- Trái phiếu Chính phủ có giá niêm yết,6.432.211,6.565.945,-,-,6432211.0,6565945.0,,
- Cổ phiếu có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,33.570,33.570,35.469,35.469,33570.0,33570.0,35469.0,35469.0
- Trái phiếu Chính phủ không có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,2.922.558,(*),3.922.512,(*),2922558.0,,3922512.0,
- Chứng khoán đầu tư sẵn sàng để bán khác,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Chứng khoán đầu tư sẵn sàng để bán khác,- Chứng khoán đầu tư sẵn sàng để bán khác,-,-,722,(*),,,722.0,
"- Góp vốn, đầu tư dài hạn","Được phân loại là tài sản tài chính sẵn sàng để bán: > - Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",1.856.808,(*),1.869.834,(*),1856808.0,,1869834.0,
