row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2016Triệu VND,2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2016Triệu VND,numeric__2015Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,22,8.310.573,8.601.184,,22.0,8310573.0,8601184.0
2,2,2,Chi phí lãi và các chi phí tương tự,22,(5.228.494),(5.203.494),,22.0,-5228494.0,-5203494.0
I,I,I,Thu nhập lãi thuần,22,3.082.079,3.397.690,,22.0,3082079.0,3397690.0
3,3,3,Thu nhập từ hoạt động dịch vụ,23,610.947,567.691,,23.0,610947.0,567691.0
4,4,4,Chi phí hoạt động dịch vụ,23,(311.095),(275.650),,23.0,-311095.0,-275650.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,23,299.852,292.041,,23.0,299852.0,292041.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,24,259.839,62.715,,24.0,259839.0,62715.0
V,V,V,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,,24.725,(34.163),,,24725.0,-34163.0
5,5,5,Thu nhập từ hoạt động khác,25,141.892,381.532,,25.0,141892.0,381532.0
6,6,6,Chi phí hoạt động khác,25,(74.022),(296.390),,25.0,-74022.0,-296390.0
VI,VI,VI,Lãi thuần từ hoạt động khác,25,67.870,85.142,,25.0,67870.0,85142.0
VII,VII,VII,"Lãi/(lỗ) từ góp vốn, mua cổ phần",26,545,(4.062),,26.0,545.0,-4062.0
VIII,VIII,VIII,Chi phí hoạt động,27,(2.255.214),(2.304.554),,27.0,-2255214.0,-2304554.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.479.696,1.494.809,,,1479696.0,1494809.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,28,(1.089.066),(1.433.987),,28.0,-1089066.0,-1433987.0
XI,XI,XI,Tổng lợi nhuận kế toán trước thuế (mang sang trang sau),,390.630,60.822,,,390630.0,60822.0
