row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,15,1.111.672,544.945,,15.0,1111672.0,544945.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,6.484.335,7.933.317,,16.0,6484335.0,7933317.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,5.122.335,7.103.777,,,5122335.0,7103777.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,1.362.000,829.540,,,1362000.0,829540.0
III,B > III,III,Tiền gửi của khách hàng,17,102.351.494,98.430.542,,17.0,102351494.0,98430542.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,3.000.000,3.000.392,,18.0,3000000.0,3000392.0
VII,B > VII,VII,Các khoản nợ khác,,2.405.588,1.795.758,,,2405588.0,1795758.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.000.279,1.510.364,,,2000279.0,1510364.0
2,B > 2,2,Các khoản phải trả và công nợ khác,19,405.309,285.394,,19.0,405309.0,285394.0
,,,TỔNG NỘ PHẢI TRẢ,,115.353.089,111.704.954,,,115353089.0,111704954.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,13.448.419,13.144.721,,21.0,13448419.0,13144721.0
1,B > 1,1,Vốn,,12.448.674,12.448.674,,,12448674.0,12448674.0
a,B > a,a,Vốn điều lệ,,12.355.229,12.355.229,,,12355229.0,12355229.0
b,B > b,b,"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,15.396,15.396,,,15396.0,15396.0
c,B > c,c,Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d,B > d,d,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Các quỹ,,1.462.854,1.513.516,,,1462854.0,1513516.0
5,B > 5,5,Lỗ lũy kế,,(463.109),(817.469),,,-463109.0,-817469.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,13.448.419,13.144.721,,,13448419.0,13144721.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,128.801.508,124.849.675,,,128801508.0,124849675.0
