row_label_raw,row_label_full,col_0,col_1,2016Triệu VND,2015Triệu VND,numeric__col_1,numeric__2016Triệu VND,numeric__2015Triệu VND
LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,8.468.208,8.978.479,,8468208.0,8978479.0
02,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Chi phí lãi và các chi phí tương tự đã trả,(4.738.579),(4.957.387),,-4738579.0,-4957387.0
03,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Thu nhập từ hoạt động dịch vụ nhận được,299.852,293.751,,299852.0,293751.0
04,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, vàng và chứng khoán",284.943,59.772,,284943.0,59772.0
05,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Thu nhập/(chi phí) khác,220,(38.637),,220.0,-38637.0
06,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",57.777,66.356,,57777.0,66356.0
07,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,Tiền chi trả cho nhân viên và hoạt động quản lý,(2.042.233),(2.072.604),,-2042233.0,-2072604.0
08,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Tiền thuế thu nhập doanh nghiệp thực nộp,(2.767),(21.441),,-2767.0,-21441.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,LUỦU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,2.327.421,2.308.289,,2327421.0,2308289.0
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,Giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,-,4.467.198,,,4467198.0
10,Những thay đổi về tài sản hoạt động > 10,10,(Tăng)/giảm các khoản về kinh doanh chứng khoán,(673.493),894.887,,-673493.0,894887.0
11,Những thay đổi về tài sản hoạt động > 11,11,Giảm/(tăng) các công cụ tài chính phải sinh và các tài sản tài chính khác,20.956,(17.362),,20956.0,-17362.0
12,Những thay đổi về tài sản hoạt động > 12,12,(Tăng)/giảm các khoản cho vay khách hàng,(3.065.965),485.703,,-3065965.0,485703.0
13,Những thay đổi về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đắp tổn thất các khoản,(347.237),(648.478),,-347237.0,-648478.0
14,Những thay đổi về tài sản hoạt động > 14,14,Giảm khác về tài sản hoạt động,267.476,286.477,,267476.0,286477.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng các khoản nợ Ngân hàng Nhà nước Việt Nam,566.727,538.332,,566727.0,538332.0
16,Những thay đổi về công nợ hoạt động > 16,16,Giảm tiền gửi và vay các tổ chức tín dụng khác,(1.448.982),(33.110.023),,-1448982.0,-33110023.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng/(giảm) tiền gửi của khách hàng,3.920.952,(2.941.344),,3920952.0,-2941344.0
18,Những thay đổi về công nợ hoạt động > 18,18,Giảm phát hành giấy tờ có giá,(392),(7.986),,-392.0,-7986.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng/(giảm) khác về công nợ hoạt động khác,35.375,(54.434),,35375.0,-54434.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ,(5.225),-,,-5225.0,
I,Những thay đổi về công nợ hoạt động > I,I,LUỦU CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,1.597.613,(27.798.741),,1597613.0,-27798741.0
