row_label_raw,row_label_full,col_0,Ảnh hưởng đến lợi nhuận sau thuế Triệu VND Tăng/(giảm),numeric__Ảnh hưởng đến lợi nhuận sau thuế Triệu VND Tăng/(giảm)
Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,
USD (mạnh lên 1%),Ngày 31 tháng 12 năm 2016 > USD (mạnh lên 1%),USD (mạnh lên 1%),6.102,6102.0
EUR (yếu đi 3%),Ngày 31 tháng 12 năm 2016 > EUR (yếu đi 3%),EUR (yếu đi 3%),6,6.0
XAU (mạnh lên 9%),Ngày 31 tháng 12 năm 2016 > XAU (mạnh lên 9%),XAU (mạnh lên 9%),13.138,13138.0
Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,
USD (mạnh lên 5%),Ngày 31 tháng 12 năm 2015 > USD (mạnh lên 5%),USD (mạnh lên 5%),41.544,41544.0
EUR (yếu đi 6%),Ngày 31 tháng 12 năm 2015 > EUR (yếu đi 6%),EUR (yếu đi 6%),(289),-289.0
XAU (yếu đi 8%),Ngày 31 tháng 12 năm 2015 > XAU (yếu đi 8%),XAU (yếu đi 8%),(19.301),-19301.0
