row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Không chịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2015 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Không chịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.040.749,-,-,-,-,-,-,2.040.749,,2040749.0,,,,,,,2040749.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.716.264,-,-,-,-,-,2.716.264,,,2716264.0,,,,,,2716264.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,110.550,-,7.772.884,44.840,-,-,-,-,7.928.274,110550.0,,7772884.0,44840.0,,,,,7928274.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,30.797,-,-,-,-,-,-,30.797,,30797.0,,,,,,,30797.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.069.357,-,39.810.005,15.440.732,13.568.515,11.214.110,2.589.702,67.371,84.759.792,2069357.0,,39810005.0,15440732.0,13568515.0,11214110.0,2589702.0,67371.0,84759792.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,6.265.082,2.373.041,-,900.631,3.856.644,6.665.238,75.000,20.135.636,,6265082.0,2373041.0,,900631.0,3856644.0,6665238.0,75000.0,20135636.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,2.031.645,-,-,-,-,-,-,2.031.645,,2031645.0,,,,,,,2031645.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.740.627,-,-,-,-,-,-,4.740.627,,4740627.0,,,,,,,4740627.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,93.631,2.522.528,-,-,-,-,-,-,2.616.159,93631.0,2522528.0,,,,,,,2616159.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.273.538,17.631.428,52.672.194,15.485.572,14.469.146,15.070.754,9.254.940,142.371,126.999.943,2273538.0,17631428.0,52672194.0,15485572.0,14469146.0,15070754.0,9254940.0,142371.0,126999943.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,518.720,-,2.907,23.318,-,-,544.945,,,518720.0,,2907.0,23318.0,,,544945.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,7.552.017,381.300,-,-,-,-,7.933.317,,,7552017.0,381300.0,,,,,7933317.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,50.271.102,18.992.379,12.096.509,8.816.283,8.253.717,552,98.430.542,,,50271102.0,18992379.0,12096509.0,8816283.0,8253717.0,552.0,98430542.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,392,-,-,-,-,3.000.000,3.000.392,,,392.0,,,,,3000000.0,3000392.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,1.795.758,-,-,-,-,-,-,1.795.758,,1795758.0,,,,,,,1795758.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,1.795.758,58.342.231,19.373.679,12.099.416,8.839.601,8.253.717,3.000.552,111.704.954,,1795758.0,58342231.0,19373679.0,12099416.0,8839601.0,8253717.0,3000552.0,111704954.0
Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],2.273.538,15.835.670,(5.670.037),(3.888.107),2.369.730,6.231.153,1.001.223,(2.858.181),15.294.989,2273538.0,15835670.0,-5670037.0,-3888107.0,2369730.0,6231153.0,1001223.0,-2858181.0,15294989.0
Mức chênh nhạy cảm với lãi suấtngoại bảng (4),Mức chênh nhạy cảm với lãi suấtngoại bảng (4),Mức chênh nhạy cảm với lãi suấtngoại bảng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suấtngoại bảng (4) > Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]",2.273.538,15.835.670,(5.670.037),(3.888.107),2.369.730,6.231.153,1.001.223,(2.858.181),15.294.989,2273538.0,15835670.0,-5670037.0,-3888107.0,2369730.0,6231153.0,1001223.0,-2858181.0,15294989.0
