row_label_raw,row_label_full,2016,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.582.433,147.837,3.730.270,3582433.0,147837.0,3730270.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,85.604,12.568,98.172,85604.0,12568.0,98172.0
Phân loại sang tài sản có khác,Nguyên giá > Phân loại sang tài sản có khác,Phân loại sang tài sản có khác,(1.229.028),-,(1.229.028),-1229028.0,,-1229028.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,66.737,-,66.737,66737.0,,66737.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(44.551),-,(44.551),-44551.0,,-44551.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.461.195,160.405,2.621.600,2461195.0,160405.0,2621600.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,94.667,94.667,,94667.0,94667.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,13.502,13.502,,13502.0,13502.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,108.169,108.169,,108169.0,108169.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.582.433,53.170,3.635.603,3582433.0,53170.0,3635603.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.461.195,52.236,2.513.431,2461195.0,52236.0,2513431.0
