row_label_raw,row_label_full,2016,Số dưđầu nămTriệu VND,Phát sinh trong năm > Số phải nộpTriệu VND,Phát sinh trong năm > Số đã nộpTriệu VND,Số duracyuối nămTriệu VND,numeric__Số dưđầu nămTriệu VND,numeric__Phát sinh trong năm > Số phải nộpTriệu VND,numeric__Phát sinh trong năm > Số đã nộpTriệu VND,numeric__Số duracyuối nămTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(129.561),81.698,(2.767),(50.630),-129561.0,81698.0,-2767.0,-50630.0
Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,9.309,70.688,(70.379),9.618,9309.0,70688.0,-70379.0,9618.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.419,49.694,(49.819),6.294,6419.0,49694.0,-49819.0,6294.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,9.475,(9.475),-,,9475.0,-9475.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,6.429,(6.429),-,,6429.0,-6429.0,
,,,(113.833),217.984,(138.869),(34.718),-113833.0,217984.0,-138869.0,-34718.0
2015,2015,2015,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số duracyuối nămTriệu VND,,,,
2015,2015,2015,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số duracyuối nămTriệu VND,,,,
Thuế thu nhập doanh nghiệp,2015 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(128.948),20.828,(21.441),(129.561),-128948.0,20828.0,-21441.0,-129561.0
Thuế giá trị gia tăng phải trả,2015 > Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,8.496,76.882,(76.069),9.309,8496.0,76882.0,-76069.0,9309.0
Thuế thu nhập cá nhân,2015 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.958,62.045,(59.584),6.419,3958.0,62045.0,-59584.0,6419.0
Thuế nhà thầu nước ngoài,2015 > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,3.769,(3.769),-,,3769.0,-3769.0,
Các loại thuế khác,2015 > Các loại thuế khác,Các loại thuế khác,-,6.062,(6.062),-,,6062.0,-6062.0,
,,,(116.494),169.586,(166.925),(113.833),-116494.0,169586.0,-166925.0,-113833.0
