row_label_raw,row_label_full,01. Tiền và các khoản tương đương tiền,Đơn vị tính: VND > 31/12/2019,Đơn vị tính: VND > 01/01/2019,numeric__Đơn vị tính: VND > 31/12/2019,numeric__Đơn vị tính: VND > 01/01/2019
- Tiền mặt,- Tiền mặt,- Tiền mặt,90.745.130.169,343.998.783.089,90745130169.0,343998783089.0
- Tiền gửi ngân hàng không kỳ hạn,- Tiền gửi ngân hàng không kỳ hạn,- Tiền gửi ngân hàng không kỳ hạn,1.825.425.910.966,1.363.188.944.965,1825425910966.0,1363188944965.0
- Các khoản tương đương tiền,- Các khoản tương đương tiền,- Các khoản tương đương tiền,5.198.616.910.662,3.452.552.623.043,5198616910662.0,3452552623043.0
Cộng,Cộng,Cộng,7.114.787.951.797,5.159.740.351.097,7114787951797.0,5159740351097.0
