row_label_raw,row_label_full,col_0,Giá gốc,Điều chỉnh theo phương pháp VCSH,Giá trị hợp lý,Giá gốc_1,Điều chỉnh theo phương pháp VCSH_1,Giá trị hợp lý_1,numeric__Giá gốc,numeric__Điều chỉnh theo phương pháp VCSH,numeric__Giá trị hợp lý,numeric__Giá gốc_1,numeric__Điều chỉnh theo phương pháp VCSH_1,numeric__Giá trị hợp lý_1
"02.2. Đầu tư vào công ty liên doanh, liên kết","02.2. Đầu tư vào công ty liên doanh, liên kết","02.2. Đầu tư vào công ty liên doanh, liên kết",2.298.683.008.705,317.934.020.287,2.616.617.028.992,1.908.513.003.597,518.071.952.441,2.426.584.956.038,2298683008705.0,317934020287.0,2616617028992.0,1908513003597.0,518071952441.0,2426584956038.0
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,48.139.152.723,17.199.371.202,65.338.523.925,48.139.152.723,(627.294.898),47.511.857.825,48139152723.0,17199371202.0,65338523925.0,48139152723.0,-627294898.0,47511857825.0
Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,34.588.899.115,9.702.217.069,44.291.116.184,34.588.899.115,(10.860.811.699),23.728.087.416,34588899115.0,9702217069.0,44291116184.0,34588899115.0,-10860811699.0,23728087416.0
Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,12.410.005.017,(9.198.371.579),3.211.633.438,12.410.005.017,(9.203.997.653),3.206.007.364,12410005017.0,-9198371579.0,3211633438.0,12410005017.0,-9203997653.0,3206007364.0
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,8.749.737.281,(1.728.254.638),7.021.482.643,8.749.737.281,(1.062.349.619),7.687.387.662,8749737281.0,-1728254638.0,7021482643.0,8749737281.0,-1062349619.0,7687387662.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,58.397.844.479,47.566.010.414,105.963.854.893,52.897.844.479,25.100.410.345,77.998.254.824,58397844479.0,47566010414.0,105963854893.0,52897844479.0,25100410345.0,77998254824.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,26.350.000.000,22.159.991.782,48.509.991.782,26.350.000.000,12.647.840.852,38.997.840.852,26350000000.0,22159991782.0,48509991782.0,26350000000.0,12647840852.0,38997840852.0
Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,1.004.392.840.663,239.759.984.108,1.244.152.824.771,1.004.392.840.663,490.646.491.673,1.495.039.332.336,1004392840663.0,239759984108.0,1244152824771.0,1004392840663.0,490646491673.0,1495039332336.0
Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,33.028.561.253,26.126.124.602,59.154.685.855,33.028.561.253,29.388.653.023,62.417.214.276,33028561253.0,26126124602.0,59154685855.0,33028561253.0,29388653023.0,62417214276.0
Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,214.365.645.090,61.557.460.133,275.923.105.223,214.365.645.090,15.166.516.077,229.532.161.167,214365645090.0,61557460133.0,275923105223.0,214365645090.0,15166516077.0,229532161167.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,95.141.496.684,(10.083.346.288),85.058.150.396,95.141.496.684,(4.223.301.332),90.918.195.352,95141496684.0,-10083346288.0,85058150396.0,95141496684.0,-4223301332.0,90918195352.0
Công ty Cổ phần Du lịch Cao su Hàm Rồng,Công ty Cổ phần Du lịch Cao su Hàm Rồng,Công ty Cổ phần Du lịch Cao su Hàm Rồng,0,0,0,51.542.820.445,12.434.275.027,63.977.095.472,0.0,0.0,0.0,51542820445.0,12434275027.0,63977095472.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,57.440.573.000,41.423.659.066,98.864.232.066,57.073.701.000,39.172.941.930,96.246.642.930,57440573000.0,41423659066.0,98864232066.0,57073701000.0,39172941930.0,96246642930.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,9.768.852.055,677.999.965,10.446.852.020,9.768.852.055,477.271.250,10.246.123.305,9768852055.0,677999965.0,10446852020.0,9768852055.0,477271250.0,10246123305.0
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,36.000.000.000,188.707.589,36.188.707.589,36.000.000.000,0,36.000.000.000,36000000000.0,188707589.0,36188707589.0,36000000000.0,0.0,36000000000.0
Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,0,0,0,12.500.000.000,257.590.378,12.757.590.378,0.0,0.0,0.0,12500000000.0,257590378.0,12757590378.0
Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,150.850.230.247,(123.901.932.401),26.948.297.846,150.850.230.247,(96.810.175.141),54.040.055.106,150850230247.0,-123901932401.0,26948297846.0,150850230247.0,-96810175141.0,54040055106.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,8.086.578.953,84.650.278,8.171.229.231,8.086.578.953,400.308.117,8.486.887.070,8086578953.0,84650278.0,8171229231.0,8086578953.0,400308117.0,8486887070.0
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tỉnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tỉnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tỉnh,4.176.773.239,(93.036.072),4.083.737.167,4.176.773.239,(93.036.072),4.083.737.167,4176773239.0,-93036072.0,4083737167.0,4176773239.0,-93036072.0,4083737167.0
Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,80.000.000.000,23.028.468,80.023.028.468,0,0,0,80000000000.0,23028468.0,80023028468.0,0.0,0.0,0.0
Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,48.449.865.353,20.272.989.673,68.722.855.026,48.449.865.353,15.260.620.183,63.710.485.536,48449865353.0,20272989673.0,68722855026.0,48449865353.0,15260620183.0,63710485536.0
Công ty cổ phần cao su Dầu Tiếng Việt Lào,Công ty cổ phần cao su Dầu Tiếng Việt Lào,Công ty cổ phần cao su Dầu Tiếng Việt Lào,368.345.953.553,(23.803.233.082),344.542.720.471,0,0,0,368345953553.0,-23803233082.0,344542720471.0,0.0,0.0,0.0
