row_label_raw,row_label_full,02. Đầu tư tài chính (Tiếp theo) > 02.3. Đầu tư góp vốn vào đơn vị khác,31/12/2019 > Giá gốc > 274.723.400.907,31/12/2019 > Dự phòng > (31.557.012.104),31/12/2019 > Giá trị hợp lý > 243.166.388.803,01/01/2019 > Giá gốc > 352.306.757.324,01/01/2019 > Dự phòng > (17.795.619.392),01/01/2019 > Giá trị hợp lý > 334.511.137.932,numeric__31/12/2019 > Giá gốc > 274.723.400.907,numeric__31/12/2019 > Dự phòng > (31.557.012.104),numeric__31/12/2019 > Giá trị hợp lý > 243.166.388.803,numeric__01/01/2019 > Giá gốc > 352.306.757.324,numeric__01/01/2019 > Dự phòng > (17.795.619.392),numeric__01/01/2019 > Giá trị hợp lý > 334.511.137.932
Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,499.950.000,(499.950.000),0,499.950.000,(499.950.000),0,499950000.0,-499950000.0,0.0,499950000.0,-499950000.0,0.0
Ngân hàng HD,Ngân hàng HD,Ngân hàng HD,0,0,0,4.801.680.000,0,4.801.680.000,0.0,0.0,0.0,4801680000.0,0.0,4801680000.0
Công ty CP Vũng Tàu Intourco,Công ty CP Vũng Tàu Intourco,Công ty CP Vũng Tàu Intourco,3.850.000.000,(1.232.000.000),2.618.000.000,3.850.000.000,(1.047.200.000),2.802.800.000,3850000000.0,-1232000000.0,2618000000.0,3850000000.0,-1047200000.0,2802800000.0
Công ty CP Chứng khoán SH,Công ty CP Chứng khoán SH,Công ty CP Chứng khoán SH,0,0,0,168.707.676,0,168.707.676,0.0,0.0,0.0,168707676.0,0.0,168707676.0
Công ty CP EVN Quốc Tế,Công ty CP EVN Quốc Tế,Công ty CP EVN Quốc Tế,44.118.073.392,(11.718.073.392),32.400.000.000,44.118.073.392,(8.694.073.392),35.424.000.000,44118073392.0,-11718073392.0,32400000000.0,44118073392.0,-8694073392.0,35424000000.0
Quỹ con hồ Việt Nam,Quỹ con hồ Việt Nam,Quỹ con hồ Việt Nam,300.000.000,0,300.000.000,300.000.000,0,300.000.000,300000000.0,0.0,300000000.0,300000000.0,0.0,300000000.0
Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Du lịch Sài Gòn Đông Hà,13.877.341.956,(5.932.674.502),7.944.667.454,13.877.341.956,0,13.877.341.956,13877341956.0,-5932674502.0,7944667454.0,13877341956.0,0.0,13877341956.0
Công ty CP Thủy sản An Phú,Công ty CP Thủy sản An Phú,Công ty CP Thủy sản An Phú,0,0,0,4.730.000.000,0,4.730.000.000,0.0,0.0,0.0,4730000000.0,0.0,4730000000.0
Công ty CP Điện Việt Lào,Công ty CP Điện Việt Lào,Công ty CP Điện Việt Lào,79.567.924.335,0,79.567.924.335,79.567.924.335,0,79.567.924.335,79567924335.0,0.0,79567924335.0,79567924335.0,0.0,79567924335.0
Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,24.418.782.000,(2.713.198.000),21.705.584.000,24.418.782.000,(5.426.396.000),18.992.386.000,24418782000.0,-2713198000.0,21705584000.0,24418782000.0,-5426396000.0,18992386000.0
Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Đầu tư XD & XNK Cao su,1.500.000.000,(510.000.000),990.000.000,1.500.000.000,0,1.500.000.000,1500000000.0,-510000000.0,990000000.0,1500000000.0,0.0,1500000000.0
Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP BOT QL13 An Lộc-Hoa Lư,23.082.813.181,0,23.082.813.181,23.082.813.181,0,23.082.813.181,23082813181.0,0.0,23082813181.0,23082813181.0,0.0,23082813181.0
Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Đầu tư Vĩnh Sơn,51.808.000.000,(6.823.116.210),44.984.883.790,51.808.000.000,0,51.808.000.000,51808000000.0,-6823116210.0,44984883790.0,51808000000.0,0.0,51808000000.0
Công ty TNHH MTV Cả phê 715C,Công ty TNHH MTV Cả phê 715C,Công ty TNHH MTV Cả phê 715C,8.252.474.776,0,8.252.474.776,7.971.283.488,0,7.971.283.488,8252474776.0,0.0,8252474776.0,7971283488.0,0.0,7971283488.0
Công ty CP Địa Ôc MB,Công ty CP Địa Ôc MB,Công ty CP Địa Ôc MB,600.000.000,0,600.000.000,600.000.000,0,600.000.000,600000000.0,0.0,600000000.0,600000000.0,0.0,600000000.0
Công ty CP QL Quỹ đầu tư Sài gòn-Hà Nội,Công ty CP QL Quỹ đầu tư Sài gòn-Hà Nội,Công ty CP QL Quỹ đầu tư Sài gòn-Hà Nội,2.128.000.000,(2.128.000.000),0,2.128.000.000,(2.128.000.000),0,2128000000.0,-2128000000.0,0.0,2128000000.0,-2128000000.0,0.0
Công ty CP Mía đường Thanh Hóa,Công ty CP Mía đường Thanh Hóa,Công ty CP Mía đường Thanh Hóa,4.897.408.624,0,4.897.408.624,4.897.408.624,0,4.897.408.624,4897408624.0,0.0,4897408624.0,4897408624.0,0.0,4897408624.0
Công ty CP Xi măng Hợp Sơn,Công ty CP Xi măng Hợp Sơn,Công ty CP Xi măng Hợp Sơn,0,0,0,13.555.162,0,13.555.162,0.0,0.0,0.0,13555162.0,0.0,13555162.0
Công ty CP Tuấn Lộc Quảng Trị,Công ty CP Tuấn Lộc Quảng Trị,Công ty CP Tuấn Lộc Quảng Trị,3.000.000.000,0,3.000.000.000,3.000.000.000,0,3.000.000.000,3000000000.0,0.0,3000000000.0,3000000000.0,0.0,3000000000.0
Công ty TNHH Gốm sứ Champa,Công ty TNHH Gốm sứ Champa,Công ty TNHH Gốm sứ Champa,0,0,0,650.604.867,0,650.604.867,0.0,0.0,0.0,650604867.0,0.0,650604867.0
Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,0,0,0,80.000.000.000,0,80.000.000.000,0.0,0.0,0.0,80000000000.0,0.0,80000000000.0
Công ty CP Chứng khoán Sài Gòn - Hà Nội,Công ty CP Chứng khoán Sài Gòn - Hà Nội,Công ty CP Chứng khoán Sài Gòn - Hà Nội,18.633.929,0,18.633.929,18.633.929,0,18.633.929,18633929.0,0.0,18633929.0,18633929.0,0.0,18633929.0
Công ty CP CB Gỗ XK Địa ốc Cao su,Công ty CP CB Gỗ XK Địa ốc Cao su,Công ty CP CB Gỗ XK Địa ốc Cao su,303.998.714,0,303.998.714,303.998.714,0,303.998.714,303998714.0,0.0,303998714.0,303998714.0,0.0,303998714.0
