row_label_raw,row_label_full,24. Nguồn kinh phí > - Nguồn kinh phí đầu năm > - Nguồn kinh phí được cấp trong năm,Năm 2019 > (119.444.815.815) > 73.780.481.087,Từ ngày 01/06/2018đến ngày 31/12/2018 > (64.827.722.793) > 28.716.213.206,numeric__Năm 2019 > (119.444.815.815) > 73.780.481.087,numeric__Từ ngày 01/06/2018đến ngày 31/12/2018 > (64.827.722.793) > 28.716.213.206
- Chi sự nghiệp,- Chi sự nghiệp,- Chi sự nghiệp,(57.653.781.019),(83.333.306.228),-57653781019.0,-83333306228.0
- Nguồn kinh phí còn lại cuối năm,- Nguồn kinh phí còn lại cuối năm,- Nguồn kinh phí còn lại cuối năm,(103.318.115.747),(119.444.815.815),-103318115747.0,-119444815815.0
