row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Tăng,numeric__Giảm,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,2.787.072.190.206,2.787.072.190.206,7.689.919.867.449,8.270.651.110.939,3.367.803.433.696,3.367.803.433.696,2787072190206.0,2787072190206.0,7689919867449.0,8270651110939.0,3367803433696.0,3367803433696.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,1.352.406.278.287,1.352.406.278.287,6.837.654.359.052,7.260.814.233.161,1.775.566.152.396,1.775.566.152.396,1352406278287.0,1352406278287.0,6837654359052.0,7260814233161.0,1775566152396.0,1775566152396.0
- Các khoản di vay,- Các khoản di vay,- Các khoản di vay,1.352.406.278.287,1.352.406.278.287,6.837.654.359.052,7.260.814.233.161,1.775.566.152.396,1.775.566.152.396,1352406278287.0,1352406278287.0,6837654359052.0,7260814233161.0,1775566152396.0,1775566152396.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,1.434.665.911.919,1.434.665.911.919,852.265.508.397,1.009.836.877.778,1.592.237.281.300,1.592.237.281.300,1434665911919.0,1434665911919.0,852265508397.0,1009836877778.0,1592237281300.0,1592237281300.0
- Các khoản di vay,- Các khoản di vay,- Các khoản di vay,1.434.665.911.919,1.434.665.911.919,852.265.508.397,1.009.836.877.778,1.592.237.281.300,1.592.237.281.300,1434665911919.0,1434665911919.0,852265508397.0,1009836877778.0,1592237281300.0,1592237281300.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,9.075.795.018.270,9.075.795.018.270,671.075.171.282,1.626.925.770.230,10.031.645.617.218,10.031.645.617.218,9075795018270.0,9075795018270.0,671075171282.0,1626925770230.0,10031645617218.0,10031645617218.0
- Các khoản di vay,- Các khoản di vay,- Các khoản di vay,9.075.795.018.270,9.075.795.018.270,671.075.171.282,1.626.925.770.230,10.031.645.617.218,10.031.645.617.218,9075795018270.0,9075795018270.0,671075171282.0,1626925770230.0,10031645617218.0,10031645617218.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,0,0,0,0,,,0.0,0.0,0.0,0.0,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Cộng,Cộng,Cộng,11.862.867.208.476,11.862.867.208.476,8.360.995.038.731,9.897.576.881.169,13.399.449.050.914,13.399.449.050.914,11862867208476.0,11862867208476.0,8360995038731.0,9897576881169.0,13399449050914.0,13399449050914.0
