row_label_raw,row_label_full,18.1. Người mua trả tiền trước ngắn hạn,31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
Người mua trả trước về mua mũ cao su nội địa,Người mua trả trước về mua mũ cao su nội địa,Người mua trả trước về mua mũ cao su nội địa,107.949.827.732,175.943.677.588,107949827732.0,175943677588.0
Người mua trả trước về mua mũ cao xu xuất khẩu,Người mua trả trước về mua mũ cao xu xuất khẩu,Người mua trả trước về mua mũ cao xu xuất khẩu,87.536.260.117,21.714.072.835,87536260117.0,21714072835.0
"Người mua trả trước về hoạt động gia công chế biến mũ cao su, chế biến pallet","Người mua trả trước về hoạt động gia công chế biến mũ cao su, chế biến pallet","Người mua trả trước về hoạt động gia công chế biến mũ cao su, chế biến pallet",6.308.505.525,2.718.080.912,6308505525.0,2718080912.0
Người mua trả trước về dịch vụ kiểm định chất lượng mũ cao su,Người mua trả trước về dịch vụ kiểm định chất lượng mũ cao su,Người mua trả trước về dịch vụ kiểm định chất lượng mũ cao su,8.887.000,0,8887000.0,0.0
"Người mua trả trước về mua cây cao su thanh lý, gầy đồ","Người mua trả trước về mua cây cao su thanh lý, gầy đồ","Người mua trả trước về mua cây cao su thanh lý, gầy đồ",103.573.233.094,78.011.648.826,103573233094.0,78011648826.0
"Người mua trả trước về hoạt động xây dựng, lắp đặt, sửa chữa, bảo trì và duy tu công trình xây dựng","Người mua trả trước về hoạt động xây dựng, lắp đặt, sửa chữa, bảo trì và duy tu công trình xây dựng","Người mua trả trước về hoạt động xây dựng, lắp đặt, sửa chữa, bảo trì và duy tu công trình xây dựng",0,500.000.000,0.0,500000000.0
"Người mua trả trước về bán, chuyển giao và lắp đặt công trình cơ khí, máy móc thiết bị","Người mua trả trước về bán, chuyển giao và lắp đặt công trình cơ khí, máy móc thiết bị","Người mua trả trước về bán, chuyển giao và lắp đặt công trình cơ khí, máy móc thiết bị",10.970.329.000,9.345.643.977,10970329000.0,9345643977.0
Người mua trả trước về hoạt động chuyển nhượng bất động sản,Người mua trả trước về hoạt động chuyển nhượng bất động sản,Người mua trả trước về hoạt động chuyển nhượng bất động sản,5.859.915.718,19.845.659.922,5859915718.0,19845659922.0
"Người mua trả trước về thuê hạ tầng khu công nghiệp, khu dân cư","Người mua trả trước về thuê hạ tầng khu công nghiệp, khu dân cư","Người mua trả trước về thuê hạ tầng khu công nghiệp, khu dân cư",96.855.644,35.376.609.377,96855644.0,35376609377.0
Người mua trả trước về hoạt động cho thuê tài sản,Người mua trả trước về hoạt động cho thuê tài sản,Người mua trả trước về hoạt động cho thuê tài sản,0,6.650.000,0.0,6650000.0
"Người mua trả trước về mua bán hàng hóa, cung cấp dịch vụ khác","Người mua trả trước về mua bán hàng hóa, cung cấp dịch vụ khác","Người mua trả trước về mua bán hàng hóa, cung cấp dịch vụ khác",145.261.540.539,167.738.430.744,145261540539.0,167738430744.0
Người mua trả trước ngắn hạn khác,Người mua trả trước ngắn hạn khác,Người mua trả trước ngắn hạn khác,165.189.541.276,135.636.889.123,165189541276.0,135636889123.0
Cộng,Cộng,Cộng,632.754.895.645,646.837.363.304,632754895645.0,646837363304.0
