row_label_raw,row_label_full,10. Thu nhập khác,Năm 2019,Tư ngày 01/00/2018đến ngày 31/12/2018,numeric__Năm 2019,numeric__Tư ngày 01/00/2018đến ngày 31/12/2018
"- Thu nhập từ cây cao su thanh lý, gầy đồ","- Thu nhập từ cây cao su thanh lý, gầy đồ","- Thu nhập từ cây cao su thanh lý, gầy đồ",792.458.375.112,601.124.338.436,792458375112.0,601124338436.0
"- Thanh lý, nhượng bán TSCĐ","- Thanh lý, nhượng bán TSCĐ","- Thanh lý, nhượng bán TSCĐ",27.748.418.023,104.583.815,27748418023.0,104583815.0
- Tiền bồi thường,- Tiền bồi thường,- Tiền bồi thường,882.804.262.414,933.936.892.901,882804262414.0,933936892901.0
- Tiền phạt thu được,- Tiền phạt thu được,- Tiền phạt thu được,3.117.469.891,2.723.500.641,3117469891.0,2723500641.0
- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,11.157.365.000,1.464.210.000,11157365000.0,1464210000.0
"- Nhượng bán vật tư, phế liệu","- Nhượng bán vật tư, phế liệu","- Nhượng bán vật tư, phế liệu",3.169.685.352,3.611.426.428,3169685352.0,3611426428.0
- Hoàn nhập Quỹ PT khoa học công nghệ,- Hoàn nhập Quỹ PT khoa học công nghệ,- Hoàn nhập Quỹ PT khoa học công nghệ,0,151.343.934,0.0,151343934.0
- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,15.072.722.918,906.492.386,15072722918.0,906492386.0
- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,18.384.393.914,6.891.248.033,18384393914.0,6891248033.0
- Các khoản khác,- Các khoản khác,- Các khoản khác,169.549.068.800,128.295.810.095,169549068800.0,128295810095.0
Cộng,Cộng,Cộng,1.923.461.761.424,1.679.209.846.669,1923461761424.0,1679209846669.0
