row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Số tiền VND,numeric__Nghiệp vụ,numeric__Số tiền VND
Công ty CP Đầu tư Xây dựng Cao su,Công ty CP Đầu tư Xây dựng Cao su,Công ty CP Đầu tư Xây dựng Cao su,Phải thu khách hàng,44.258.660.816,,44258660816.0
Công ty CP Đầu tư Xây dựng Cao su,Công ty CP Đầu tư Xây dựng Cao su,Công ty CP Đầu tư Xây dựng Cao su,Trả trước người bán,3.852.000.000,,3852000000.0
Công ty CP Đầu tư Xây dựng Cao su,Công ty CP Đầu tư Xây dựng Cao su,Công ty CP Đầu tư Xây dựng Cao su,Phải trả người bán,1.394.681.836,,1394681836.0
Công ty CP Xây dựng Tư vấn đầu tư,Công ty CP Xây dựng Tư vấn đầu tư,Công ty CP Xây dựng Tư vấn đầu tư,Phải thu khách hàng,84.621.250,,84621250.0
Công ty CP Xây dựng Tư vấn đầu tư,Công ty CP Xây dựng Tư vấn đầu tư,Công ty CP Xây dựng Tư vấn đầu tư,Trả trước cho người bán,2.956.883.228,,2956883228.0
Công ty CP Xây dựng Tư vấn đầu tư,Công ty CP Xây dựng Tư vấn đầu tư,Công ty CP Xây dựng Tư vấn đầu tư,Phải trả người bán,328.493.000,,328493000.0
Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Phải thu khách hàng,33.270.875.005,,33270875005.0
Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Người mua trả tiền trước,2.051.110.950,,2051110950.0
Công ty CP Chỉ sợi Cao su VRG Sa do,Công ty CP Chỉ sợi Cao su VRG Sa do,Công ty CP Chỉ sợi Cao su VRG Sa do,Phải thu khách hàng,56.389.892.220,,56389892220.0
Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Phải thu khách hàng,3.334.057.655,,3334057655.0
Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Phải trả người bán,164.829.500,,164829500.0
Công ty CP ĐTPT VRG Long Thành,Công ty CP ĐTPT VRG Long Thành,Công ty CP ĐTPT VRG Long Thành,Trả trước người bán,9.468.573.000,,9468573000.0
