row_label_raw,row_label_full,Stt,"Tên công ty liên kết, liên doanh",Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,"numeric__Tên công ty liên kết, liên doanh",numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
1,1,1,Công ty Cổ phần Thống Nhất,"KCN Bầu Xéo, xã Sông Trầu, huyện Trăng Bom, tỉnh Đồng Nai","36,07%","36,07%","Đầu tư xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp; kinh doanh điện, nước sạch; dịch vụ xử lý nước thải",,,0.3607,0.3607,
2,2,2,Công ty Cổ phần Đầu tư Xây dựng Cao su,"267 Điện Biên Phú, phường 6, quận 3, TP. Hồ Chí Minh","28,00%","28,00%","Thi công các công trình cấp thoát nước; Thi công xây dựng công trình công nghiệp, dân dụng, thủy lợi, giao thông, cầu đường",,,0.28,0.28,
3,3,3,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,"269A Nguyễn Trọng Tuyên, phường 10, quận Phú Nhuận, TP. Hồ Chí Minh","47,88%","47,88%","Thi công xây dựng các công trình; Điều tra cơ bản, lập dự án đầu tư; Thiết kế và lập tổng dự toán công trình xây dựng dân dụng & công nghiệp",,,0.4788,0.4788,
4,4,4,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,"Số 8 Trần Quý Khoách, quận 1, TP. Hồ Chí Minh","27,57%","27,78%","Trồng, khai thác, chế biến và xuất khẩu cao su Sản xuất vật liệu xây dựng từ đất sét; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ; Bản buôn tổng hợp",,,0.2757,0.2778,
5,5,5,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,"Áp Hòa Vinh, xã Thành Tâm, huyện Chơn Thành, tỉnh Bình Phước Km 72+000, đường ĐT.741, Áp Thuận Hải, xã Thuận Phú, huyện Đồng Phú, tỉnh Bình Phước","29,17%","29,17%",Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ,,,0.2917,0.2917,
6,6,6,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,"Lô G, Khu công nghiệp Minh Hưng III, xã Minh Hưng, huyện Chơn Thành, Tỉnh Bình Phước","38,60%","46,80%","Trồng rừng, khai thác, chế biến gỗ, đảm nguyên liệu; Sản xuất, kinh doanh gỗ nhân tạo MDF, hóa chất phục vụ ngành gỗ",,,0.386,0.46799999999999997,
7,7,7,Công ty Cổ phần gỗ MDF VRG Dongwha,"Lô E, KCN Lộc An, Bình Sơn, xã Bình Sơn, huyện Long Thành, Tỉnh Đồng Nai","49,00%","49,00%","Xây dựng hạ tầng khu công nghiệp, nhà, cơ sở hạ tầng kỹ thuật đô thị, khu dân cư, khu kinh tế; Đầu tư xây dựng công trình thủy điện, nhiệt điện: Kinh doanh điện, nước trong khu công nghiệp và đô thị",,,0.49,0.49,
8,8,8,Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,"Lô TT2-1, đường D4, KCN Đồng Nam, xã Hoà Phú, huyện Cù Chi, TP. Hồ Chí Minh","31,00%","31,00%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,0.31,0.31,
9,9,9,Công ty Cổ phần Đầu tư Sài Gòn VRG,,"17,35%","22,54%","Khai hoang, trồng mới, chăm sóc, khai thác, chế biến và mua bán các sản phẩm từ cây cao su; sản xuất mua bán, chế biến nông lâm sản xuất khẩu",,,0.17350000000000002,0.2254,
10,10,10,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,"Số 636 đường Võ Văn Kiệt, phường 1, quận 5, TP. Hồ Chí Minh","27,14%","27,14%","Khai hoang, trồng mới, chăm sóc, khai thác, chế biến và mua bán các sản phẩm từ cây cao su; sản xuất mua bán, chế biến nông lâm sản xuất khẩu",,,0.27140000000000003,0.27140000000000003,
