row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyền dẫn,Thiết bịdụng cụ quản lý,Vườn câykinh doanh,Tài sản cố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyền dẫn,numeric__Thiết bịdụng cụ quản lý,numeric__Vườn câykinh doanh,numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.184.368.486.717,5.731.977.832.648,1.803.492.439.985,181.138.442.560,18.371.990.095.381,96.230.172.913,37.369.197.470.204,11184368486717.0,5731977832648.0,1803492439985.0,181138442560.0,18371990095381.0,96230172913.0,37369197470204.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,33.774.917.691,123.569.910.413,41.681.738.884,5.343.795.452,177.708.560.510,553.000.000,382.631.922.950,33774917691.0,123569910413.0,41681738884.0,5343795452.0,177708560510.0,553000000.0,382631922950.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,466.070.575.887,105.139.497.440,29.740.050.986,2.664.586.943,4.299.987.845.900,1.018.504.362,4.904.621.061.518,466070575887.0,105139497440.0,29740050986.0,2664586943.0,4299987845900.0,1018504362.0,4904621061518.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,9.517.957.317,10.118.853.740,13.716.006.627,389.927.213,3.474.216.110,0,37.216.961.007,9517957317.0,10118853740.0,13716006627.0,389927213.0,3474216110.0,0.0,37216961007.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,926.397.171,107.116.802,0,60.500.000,0,0,1.094.013.973,926397171.0,107116802.0,0.0,60500000.0,0.0,0.0,1094013973.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(18.652.909.631),(4.649.584.428),(41.032.840.870),(2.061.383.817),(469.086.716.866),(1.026.252.000),(536.509.687.612),-18652909631.0,-4649584428.0,-41032840870.0,-2061383817.0,-469086716866.0,-1026252000.0,-536509687612.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(231.894.816.801),(38.637.321.516),(41.839.654.547),(370.493.907),(725.972.565.340),(2.004.940.961),(1.040.719.793.072),-231894816801.0,-38637321516.0,-41839654547.0,-370493907.0,-725972565340.0,-2004940961.0,-1040719793072.0
- Giảm do chuyển đổi BCTC,Nguyên giá > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(50.473.016.769),(8.765.444.387),(6.159.098.859),(264.566.729),(216.209.574.106),0,(281.871.700.850),-50473016769.0,-8765444387.0,-6159098859.0,-264566729.0,-216209574106.0,0.0,-281871700850.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,(167.616.802),(587.709.091),(338.688.080),0,0,0,(1.094.013.973),-167616802.0,-587709091.0,-338688080.0,0.0,0.0,0.0,-1094013973.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.393.469.974.780,5.918.273.151.621,1.799.259.954.126,186.900.807.715,21.441.891.861.589,94.770.484.314,40.834.566.234.145,11393469974780.0,5918273151621.0,1799259954126.0,186900807715.0,21441891861589.0,94770484314.0,40834566234145.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.851.247.636.952,2.729.225.526.660,1.175.597.370.650,152.542.421.548,3.095.574.467.553,61.080.867.203,12.065.268.290.566,4851247636952.0,2729225526660.0,1175597370650.0,152542421548.0,3095574467553.0,61080867203.0,12065268290566.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,564.059.726.686,303.886.899.922,101.661.583.630,7.048.333.337,780.027.000.670,5.930.046.781,1.762.613.591.026,564059726686.0,303886899922.0,101661583630.0,7048333337.0,780027000670.0,5930046781.0,1762613591026.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,1.886.273.174,771.739.050,581.263.775,7.650.000,8.365.515.000,184.287.006,11.796.728.005,1886273174.0,771739050.0,581263775.0,7650000.0,8365515000.0,184287006.0,11796728005.0
- Tăng do phân loại lại,Giá trị hao mòn lũy kế > - Tăng do phân loại lại,- Tăng do phân loại lại,791.097.841,32.499.981,0,23.961.476,0,0,847.559.298,791097841.0,32499981.0,0.0,23961476.0,0.0,0.0,847559298.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(8.837.979.972),(4.607.367.100),(40.389.798.339),(222.478.801),(316.282.444.768),(811.551.905),(371.151.620.885),-8837979972.0,-4607367100.0,-40389798339.0,-222478801.0,-316282444768.0,-811551905.0,-371151620885.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(39.039.966.108),(7.838.136.350),(24.413.961.323),(370.493.907),(90.779.754.536),(861.005.362),(163.303.317.586),-39039966108.0,-7838136350.0,-24413961323.0,-370493907.0,-90779754536.0,-861005362.0,-163303317586.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(19.326.980.639),(2.516.553.921),(3.709.880.681),(151.173.702),(24.434.561.958),0,(50.139.150.901),-19326980639.0,-2516553921.0,-3709880681.0,-151173702.0,-24434561958.0,0.0,-50139150901.0
