row_label_raw,row_label_full,02.1. Chứng khoán kinh doanh,31/12/2019 > Giá gốc,31/12/2019 > Dự phòng,31/12/2019 > Giá trị hợp lý,01/01/2019 > Giá gốc,01/01/2019 > Dự phòng,01/01/2019 > Giá trị hợp lý,numeric__31/12/2019 > Giá gốc,numeric__31/12/2019 > Dự phòng,numeric__31/12/2019 > Giá trị hợp lý,numeric__01/01/2019 > Giá gốc,numeric__01/01/2019 > Dự phòng,numeric__01/01/2019 > Giá trị hợp lý
Công ty CP Xi măng Sài Sơn (SCJ),Công ty CP Xi măng Sài Sơn (SCJ),Công ty CP Xi măng Sài Sơn (SCJ),1.186.747.500,(1.060.747.500),126.000.000,1.186.747.500,(850.747.500),336.000.000,1186747500.0,-1060747500.0,126000000.0,1186747500.0,-850747500.0,336000000.0
Công ty CP Phát triển Đô thị Kinh Bắc (KBC),Công ty CP Phát triển Đô thị Kinh Bắc (KBC),Công ty CP Phát triển Đô thị Kinh Bắc (KBC),2.934.236.720,(2.007.236.720),927.000.000,2.934.236.720,(2.145.236.720),789.000.000,2934236720.0,-2007236720.0,927000000.0,2934236720.0,-2145236720.0,789000000.0
(ITA),(ITA),(ITA),1.442.160.000,(1.244.476.800),197.683.200,1.442.160.000,(1.232.121.600),210.038.400,1442160000.0,-1244476800.0,197683200.0,1442160000.0,-1232121600.0,210038400.0
(ACB),(ACB),(ACB),3.847.587,(792.387),3.055.200,3.847.587,0,3.847.587,3847587.0,-792387.0,3055200.0,3847587.0,0.0,3847587.0
Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội (SHB),Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội (SHB),Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội (SHB),396.792,(19.792),377.000,396.792,0,396.792,396792.0,-19792.0,377000.0,396792.0,0.0,396792.0
(CSM),(CSM),(CSM),28.400.000,0,28.400.000,28.400.000,0,28.400.000,28400000.0,0.0,28400000.0,28400000.0,0.0,28400000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Thái Bình Dương (PPI),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Thái Bình Dương (PPI),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Thái Bình Dương (PPI),0,0,0,4.096.741.500,(3.286.497.070),810.244.430,0.0,0.0,0.0,4096741500.0,-3286497070.0,810244430.0
Công ty Cổ phần Bảo vệ Thực vật Sài Gòn (SPC),Công ty Cổ phần Bảo vệ Thực vật Sài Gòn (SPC),Công ty Cổ phần Bảo vệ Thực vật Sài Gòn (SPC),0,0,0,153.600.000,(57.000.000),96.600.000,0.0,0.0,0.0,153600000.0,-57000000.0,96600000.0
Công ty Cổ phần Phân lân Nung chảy Văn Điển (VAF),Công ty Cổ phần Phân lân Nung chảy Văn Điển (VAF),Công ty Cổ phần Phân lân Nung chảy Văn Điển (VAF),0,0,0,645.152.500,(186.938.100),458.214.400,0.0,0.0,0.0,645152500.0,-186938100.0,458214400.0
Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao su Việt Nam (VRG),Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao su Việt Nam (VRG),Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao su Việt Nam (VRG),0,0,0,187.750.000,0,187.750.000,0.0,0.0,0.0,187750000.0,0.0,187750000.0
Công ty Cổ phần Địa ốc MB,Công ty Cổ phần Địa ốc MB,Công ty Cổ phần Địa ốc MB,1.095.397.161,0,1.095.397.161,1.095.397.161,0,1.095.397.161,1095397161.0,0.0,1095397161.0,1095397161.0,0.0,1095397161.0
Công ty Cổ phần Công nghiệp mới Kim Tự Tháp (OTC),Công ty Cổ phần Công nghiệp mới Kim Tự Tháp (OTC),Công ty Cổ phần Công nghiệp mới Kim Tự Tháp (OTC),68.237.000,(68.237.000),0,68.237.000,(68.237.000),0,68237000.0,-68237000.0,0.0,68237000.0,-68237000.0,0.0
Cộng,Cộng,Cộng,6.759.422.760,(4.381.510.199),2.377.912.561,11.842.666.760,(7.826.777.990),4.015.888.770,6759422760.0,-4381510199.0,2377912561.0,11842666760.0,-7826777990.0,4015888770.0
