row_label_raw,row_label_full,28,Công ty CP VRG - Đắk Nông,Báo cáo tài chính đã được kiểm toán,numeric__Công ty CP VRG - Đắk Nông,numeric__Báo cáo tài chính đã được kiểm toán
29,29,29,Công ty CP Công nghiệp XNK Cao su,Báo cáo tài chính hợp nhất đã được kiểm toán,,
30,30,30,Công ty Cổ phần Thế thao Ngôi Sao Geru,Báo cáo tài chính đã được kiểm toán,,
31,31,31,Công ty CP Gỗ MDF Quảng Trị,Báo cáo tài chính đã được kiểm toán,,
32,32,32,Công ty CP Cao su Phước Hòa,Báo cáo tài chính riêng đã được kiểm toán,,
33,33,33,Công ty CP Cao su Việt Lào,Báo cáo tài chính hợp nhất đã được kiểm toán,,
34,34,34,Công ty CP Cao su Hòa Bình,Báo cáo tài chính đã được kiểm toán,,
35,35,35,Công ty CP Cao su Hàng Gòn,Báo cáo tài chính đã được kiểm toán,,
36,36,36,Công ty CP Cao su Quasa Geruco,Báo cáo tài chính hợp nhất đã được kiểm toán,,
37,37,37,Công ty CP TMDV Du lịch Cao su,Báo cáo tài chính tổng hợp đã được kiểm toán,,
38,38,38,Công ty CP PTĐT & KCN Cao su VN,Báo cáo tài chính đã được kiểm toán,,
39,39,39,Công ty CP KCN Nam Tân Uyên,Báo cáo tài chính đã được kiểm toán,,
40,40,40,Công ty CP Chế biến gỗ Thuận An,Báo cáo tài chính đã được kiểm toán,,
41,41,41,Công ty CP Gỗ Dầu Tiếng,Báo cáo tài chính đã được kiểm toán,,
42,42,42,Công ty CP DLTM & KS Hưng Yên,Báo cáo tài chính đã được kiểm toán,,
43,43,43,Công ty CP Cơ khí Cao su,Báo cáo tài chính đã được kiểm toán,,
44,44,44,Công ty CP Cao su Đồng Phú,Báo cáo tài chính tổng hợp đã được kiểm toán,,
45,45,45,Công ty CP Cao su Tây Ninh,Báo cáo tài chính riêng đã được kiểm toán,,
46,46,46,Công ty CP Cao su Sơn La,Báo cáo tài chính đã được kiểm toán,,
47,47,47,Công ty CP Cao su Điện Biên,Báo cáo tài chính đã được kiểm toán,,
48,48,48,Công ty CP Cao su Lai Châu,Báo cáo tài chính đã được kiểm toán,,
49,49,49,Công ty CP Cao su Sa Thầy,Báo cáo tài chính đã được kiểm toán,,
50,50,50,Công ty CP ĐTPT Cao su Nghệ An,Báo cáo tài chính đã được kiểm toán,,
51,51,51,Công ty CP Cao su Tân Biên Kampongthom,Báo cáo tài chính hợp nhất đã được kiểm toán,,
52,52,52,Công ty CP Cao su Bà Rịa,Báo cáo tài chính đã được kiểm toán,,
53,53,53,Công ty CP Cao su Phú Riềng Kratie,Báo cáo tài chính,,
54,54,54,Công ty CP VRG - Phú Yên,Báo cáo tài chính đã được kiểm toán,,
55,55,55,Công ty CP Cao su Tân Biên,Báo cáo tài chính riêng đã được kiểm toán,,
56,56,56,Công ty CP KCN Dầu Giấy,Báo cáo tài chính đã được kiểm toán,,
57,57,57,Công ty CP KCN Long Khánh,Báo cáo tài chính đã được kiểm toán,,
58,58,58,Công ty CP Cao su Hà Giang,Báo cáo tài chính đã được kiểm toán,,
59,59,59,Công ty CP Cao su Trường Phát,Báo cáo tài chính đã được kiểm toán,,
60,60,60,Công ty CP Cao su Đồng Phú Kratie,Báo cáo tài chính hợp nhất đã được kiểm toán,,
61,61,61,Công ty CP Cao su Đồng Nai Kratie,Báo cáo tài chính hợp nhất đã được kiểm toán,,
62,62,62,Công ty CP Thủy Điện VRG Ngọc Linh,Báo cáo tài chính,,
