row_label_raw,row_label_full,23.4. Các quỹ của Tập đoàn,31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,2.916.343.879.221,2.439.091.902.294,2916343879221.0,2439091902294.0
Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0.0,0.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,4.734.438.595,4.212.591.156,4734438595.0,4212591156.0
Cộng,Cộng,Cộng,2.921.078.317.816,2.443.304.493.450,2921078317816.0,2443304493450.0
