row_label_raw,row_label_full,03. Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm 2019,Từ ngày 01/06/2018đến ngày 31/12/2018,numeric__Năm 2019,numeric__Từ ngày 01/06/2018đến ngày 31/12/2018
- Doanh thu thuần sản xuất và kinh doanh mù cao su,- Doanh thu thuần sản xuất và kinh doanh mù cao su,- Doanh thu thuần sản xuất và kinh doanh mù cao su,12.757.045.894.328,9.201.027.776.986,12757045894328.0,9201027776986.0
- Doanh thu thuần sản xuất và kinh doanh các sản phẩm từ cao su,- Doanh thu thuần sản xuất và kinh doanh các sản phẩm từ cao su,- Doanh thu thuần sản xuất và kinh doanh các sản phẩm từ cao su,1.092.288.197.971,918.962.547.144,1092288197971.0,918962547144.0
- Doanh thu thuần chế biến gỗ,- Doanh thu thuần chế biến gỗ,- Doanh thu thuần chế biến gỗ,3.681.408.099.020,1.997.952.985.764,3681408099020.0,1997952985764.0
- Doanh thu hợp đồng xây dựng,- Doanh thu hợp đồng xây dựng,- Doanh thu hợp đồng xây dựng,0,72.126.364,0.0,72126364.0
"- Doanh thu thuần kinh doanh bất động sản, cơ sở hạ tầng","- Doanh thu thuần kinh doanh bất động sản, cơ sở hạ tầng","- Doanh thu thuần kinh doanh bất động sản, cơ sở hạ tầng",1.011.322.652.407,547.161.797.606,1011322652407.0,547161797606.0
- Doanh thu thuần dịch vụ duy tu bảo dưỡng hạ tầng KCN,- Doanh thu thuần dịch vụ duy tu bảo dưỡng hạ tầng KCN,- Doanh thu thuần dịch vụ duy tu bảo dưỡng hạ tầng KCN,30.828.758.250,16.507.492.110,30828758250.0,16507492110.0
"- Doanh thu thuần dịch vụ kinh doanh điện, nước","- Doanh thu thuần dịch vụ kinh doanh điện, nước","- Doanh thu thuần dịch vụ kinh doanh điện, nước",22.254.529.515,8.368.650.465,22254529515.0,8368650465.0
"- Doanh thu thuần dịch vụ du lịch, nhà hàng, khách sạn","- Doanh thu thuần dịch vụ du lịch, nhà hàng, khách sạn","- Doanh thu thuần dịch vụ du lịch, nhà hàng, khách sạn",2.516.647.328,462.754.543,2516647328.0,462754543.0
- Doanh thu thuần từ kinh doanh điện năng,- Doanh thu thuần từ kinh doanh điện năng,- Doanh thu thuần từ kinh doanh điện năng,427.633.529.167,268.671.747.780,427633529167.0,268671747780.0
- Doanh thu thuần bán hàng hóa và cung cấp dịch vụ khác,- Doanh thu thuần bán hàng hóa và cung cấp dịch vụ khác,- Doanh thu thuần bán hàng hóa và cung cấp dịch vụ khác,778.696.332.917,1.121.538.059.280,778696332917.0,1121538059280.0
Cộng,Cộng,Cộng,19.803.994.640.903,14.080.725.938.042,19803994640903.0,14080725938042.0
04. Giá vốn hàng bán,04. Giá vốn hàng bán,04. Giá vốn hàng bán,Năm 2019,Từ ngày 01/06/2018đến ngày 31/12/2018,,
- Giá vốn sản xuất và kinh doanh mù cao su,04. Giá vốn hàng bán > - Giá vốn sản xuất và kinh doanh mù cao su,- Giá vốn sản xuất và kinh doanh mù cao su,10.296.173.570.306,7.803.342.332.601,10296173570306.0,7803342332601.0
- Giá vốn sản xuất và kinh doanh các sản phẩm từ cao su,04. Giá vốn hàng bán > - Giá vốn sản xuất và kinh doanh các sản phẩm từ cao su,- Giá vốn sản xuất và kinh doanh các sản phẩm từ cao su,975.141.784.120,868.171.209.690,975141784120.0,868171209690.0
- Giá vốn chế biến gỗ,04. Giá vốn hàng bán > - Giá vốn chế biến gỗ,- Giá vốn chế biến gỗ,2.722.838.246.097,1.267.861.205.249,2722838246097.0,1267861205249.0
"- Giá vốn kinh doanh bất động sản, cơ sở hạ tầng","04. Giá vốn hàng bán > - Giá vốn kinh doanh bất động sản, cơ sở hạ tầng","- Giá vốn kinh doanh bất động sản, cơ sở hạ tầng",363.859.430.161,206.531.134.891,363859430161.0,206531134891.0
- Giá vốn dịch vụ duy tu bảo dưỡng hạ tầng KCN,04. Giá vốn hàng bán > - Giá vốn dịch vụ duy tu bảo dưỡng hạ tầng KCN,- Giá vốn dịch vụ duy tu bảo dưỡng hạ tầng KCN,1.769.299.492,1.016.280.241,1769299492.0,1016280241.0
"- Giá vốn dịch vụ kinh doanh điện, nước","04. Giá vốn hàng bán > - Giá vốn dịch vụ kinh doanh điện, nước","- Giá vốn dịch vụ kinh doanh điện, nước",19.011.488.615,8.067.182.062,19011488615.0,8067182062.0
- Giá vốn dịch vụ khách sạn,04. Giá vốn hàng bán > - Giá vốn dịch vụ khách sạn,- Giá vốn dịch vụ khách sạn,2.202.704.497,308.944.524,2202704497.0,308944524.0
- Giá vốn kinh doanh điện năng,04. Giá vốn hàng bán > - Giá vốn kinh doanh điện năng,- Giá vốn kinh doanh điện năng,263.975.781.344,147.286.336.590,263975781344.0,147286336590.0
- Giá vốn khác,04. Giá vốn hàng bán > - Giá vốn khác,- Giá vốn khác,536.035.610.448,517.134.600.208,536035610448.0,517134600208.0
Cộng,04. Giá vốn hàng bán > Cộng,Cộng,15.181.007.915.080,10.819.719.226.056,15181007915080.0,10819719226056.0
05. Doanh thu hoạt động tài chính:,05. Doanh thu hoạt động tài chính:,05. Doanh thu hoạt động tài chính:,Năm 2019,Từ ngày 01/06/2018đến ngày 31/12/2018,,
"- Lãi tiền gửi, tiền cho vay","05. Doanh thu hoạt động tài chính: > - Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay",644.628.405.129,349.284.600.537,644628405129.0,349284600537.0
- Lãi bán các khoản đầu tư,05. Doanh thu hoạt động tài chính: > - Lãi bán các khoản đầu tư,- Lãi bán các khoản đầu tư,24.477.458.673,25.041.628.817,24477458673.0,25041628817.0
"- Cổ tức, lợi nhuận được chia","05. Doanh thu hoạt động tài chính: > - Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia",2.931.566.906,1.821.638.179,2931566906.0,1821638179.0
- Lãi bán ngoại tệ,05. Doanh thu hoạt động tài chính: > - Lãi bán ngoại tệ,- Lãi bán ngoại tệ,811.316.791,44.623.123,811316791.0,44623123.0
- Lãi chênh lệch tỷ giá,05. Doanh thu hoạt động tài chính: > - Lãi chênh lệch tỷ giá,- Lãi chênh lệch tỷ giá,30.612.446.017,63.580.131.406,30612446017.0,63580131406.0
"- Lãi bán hàng trả chậm, chiết khấu thanh toán","05. Doanh thu hoạt động tài chính: > - Lãi bán hàng trả chậm, chiết khấu thanh toán","- Lãi bán hàng trả chậm, chiết khấu thanh toán",0,9.894.685.844,0.0,9894685844.0
- Doanh thu hoạt động tài chính khác/ Các khoản ghi giảm doanh thu TC,05. Doanh thu hoạt động tài chính: > - Doanh thu hoạt động tài chính khác/ Các khoản ghi giảm doanh thu TC,- Doanh thu hoạt động tài chính khác/ Các khoản ghi giảm doanh thu TC,28.042.289.073,17.039.441.442,28042289073.0,17039441442.0
Cộng,05. Doanh thu hoạt động tài chính: > Cộng,Cộng,731.503.482.589,466.706.749.348,731503482589.0,466706749348.0
