row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,122.929.419.544,247.990.000,46.049.787.729,11.541.511.644,180.768.708.917,122929419544.0,247990000.0,46049787729.0,11541511644.0,180768708917.0
- Mua trong kỳ,Nguyên giá TSCĐ vô hình > - Mua trong kỳ,- Mua trong kỳ,1.655.596.892,0,2.975.126.112,300.000.000,4.930.723.004,1655596892.0,0.0,2975126112.0,300000000.0,4930723004.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.830.682.214),0,(87.420.000),0,(2.918.102.214),-2830682214.0,0.0,-87420000.0,0.0,-2918102214.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(101.178.525),0,(132.588.814),0,(233.767.339),-101178525.0,0.0,-132588814.0,0.0,-233767339.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,121.653.155.697,247.990.000,48.804.905.027,11.841.511.644,182.547.562.368,121653155697.0,247990000.0,48804905027.0,11841511644.0,182547562368.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,17.557.444.761,176.302.576,32.253.885.013,5.918.884.860,55.906.517.210,17557444761.0,176302576.0,32253885013.0,5918884860.0,55906517210.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,2.748.994.029,51.477.003,5.538.455.551,592.063.254,8.930.989.837,2748994029.0,51477003.0,5538455551.0,592063254.0,8930989837.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,0,0,,0,0,0.0,0.0,,0.0,0.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",0,0,(462.529.312),0,(462.529.312),0.0,0.0,-462529312.0,0.0,-462529312.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(24.141.926),0,(100.227.040),0,(124.368.966),-24141926.0,0.0,-100227040.0,0.0,-124368966.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,20.282.296.864,227.779.579,37.229.584.212,6.510.948.114,64.250.608.769,20282296864.0,227779579.0,37229584212.0,6510948114.0,64250608769.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,105.371.974.783,71.687.424,13.795.902.716,5.622.626.784,124.862.191.707,105371974783.0,71687424.0,13795902716.0,5622626784.0,124862191707.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,101.370.858.833,20.210.421,11.575.320.815,5.330.563.530,118.296.953.599,101370858833.0,20210421.0,11575320815.0,5330563530.0,118296953599.0
