row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh mủ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bất động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh mủ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bất động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,12.757.045.894.328,1.092.288.197.971,3.681.408.099.020,1.064.405.940.172,2.516.647.328,427.633.529.167,778.696.332.917,-,19.803.994.640.903,12757045894328.0,1092288197971.0,3681408099020.0,1064405940172.0,2516647328.0,427633529167.0,778696332917.0,,19803994640903.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),(1.459.181.912.464),19.770.625.657,5.379.020.066,2.147.903.124,-,-,278.851.914.460,1.153.032.449.157,-,-1459181912464.0,19770625657.0,5379020066.0,2147903124.0,,,278851914460.0,1153032449157.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,11.297.863.981.864,1.112.058.823.628,3.686.787.119.086,1.066.553.843.296,2.516.647.328,427.633.529.167,1.057.548.247.377,1.153.032.449.157,19.803.994.640.903,11297863981864.0,1112058823628.0,3686787119086.0,1066553843296.0,2516647328.0,427633529167.0,1057548247377.0,1153032449157.0,19803994640903.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,
Khấu hao tài sản cố định,Kết quả hoạt động kinh doanh > Khấu hao tài sản cố định,Khấu hao tài sản cố định,597.206.921.372,35.164.578.498,77.480.332.543,7.856.619.869,1.258.576.886,25.672.089.609,6.071.079.866,-,750.710.198.643,597206921372.0,35164578498.0,77480332543.0,7856619869.0,1258576886.0,25672089609.0,6071079866.0,,750710198643.0
Phần được chia từ lãi/(lỗ) của công ty liên kết,Phần được chia từ lãi/(lỗ) của công ty liên kết,Phần được chia từ lãi/(lỗ) của công ty liên kết,,,,,,,,,,,,,,,,,,
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Phần được chia từ lãi/(lỗ) của công ty liên kết > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),1.066.745.237.338,10.201.306.249,749.431.323.153,516.779.951.774,(8.430.985.193),126.303.007.833,(60.251.821.112),163.860.624.706,2.564.638.644.748,1066745237338.0,10201306249.0,749431323153.0,516779951774.0,-8430985193.0,126303007833.0,-60251821112.0,163860624706.0,2564638644748.0
Tổng tài sản (3),Phần được chia từ lãi/(lỗ) của công ty liên kết > Tổng tài sản (3),Tổng tài sản (3),52.583.944.226.814,1.485.627.065.680,3.819.766.421.180,5.728.595.558.922,77.998.632.181,2.689.471.070.177,4.938.733.903.499,(4.764.393.750.268),66.559.743.128.185,52583944226814.0,1485627065680.0,3819766421180.0,5728595558922.0,77998632181.0,2689471070177.0,4938733903499.0,-4764393750268.0,66559743128185.0
Tổng nợ phải trả (4),Phần được chia từ lãi/(lỗ) của công ty liên kết > Tổng nợ phải trả (4),Tổng nợ phải trả (4),9.471.901.059.781,251.367.103.646,799.641.381.705,9.426.792.283.565,4.982.279.577,96.814.844.557,425.761.191.210,(4.922.686.590.302),15.554.573.553.739,9471901059781.0,251367103646.0,799641381705.0,9426792283565.0,4982279577.0,96814844557.0,425761191210.0,-4922686590302.0,15554573553739.0
