row_label_raw,row_label_full,Thu nhập của các thành viên chủ chốt,Số tiền,numeric__Số tiền
,,,VND,
Thu nhập Hội đồng quản trị và Ban Tổng Giám đốc,Thu nhập Hội đồng quản trị và Ban Tổng Giám đốc,Thu nhập Hội đồng quản trị và Ban Tổng Giám đốc,6.203.616.000,6203616000.0
Thu nhập của Ban kiểm soát,Thu nhập của Ban kiểm soát,Thu nhập của Ban kiểm soát,767.910.000,767910000.0
Cộng,Cộng,Cộng,6.971.526.000,6971526000.0
