row_label_raw,row_label_full,14. Tài sản dở dang dài hạn,31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
"- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn",145.694.093.360,154.090.078.859,145694093360.0,154090078859.0
- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,21.598.873.912.902,25.270.912.665.800,21598873912902.0,25270912665800.0
+ Vườn cây cao su KTCB,+ Vườn cây cao su KTCB,+ Vườn cây cao su KTCB,19.254.240.877.962,22.882.775.783.422,19254240877962.0,22882775783422.0
+ Vườn cây khác,+ Vườn cây khác,+ Vườn cây khác,234.348.934.700,137.601.746.583,234348934700.0,137601746583.0
"+ Nhà máy, dây chuyển chế biến cao su","+ Nhà máy, dây chuyển chế biến cao su","+ Nhà máy, dây chuyển chế biến cao su",191.371.534.398,71.512.388.310,191371534398.0,71512388310.0
"+ Đường giao thông, đập thủy lợi","+ Đường giao thông, đập thủy lợi","+ Đường giao thông, đập thủy lợi",13.657.845.337,92.141.913.375,13657845337.0,92141913375.0
"+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng",820.773.970.393,888.327.976.623,820773970393.0,888327976623.0
+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,4.644.762.286,5.435.775.545,4644762286.0,5435775545.0
+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,1.079.835.987.826,1.193.117.081.942,1079835987826.0,1193117081942.0
Cộng,Cộng,Cộng,21.744.568.006.262,25.425.002.744.659,21744568006262.0,25425002744659.0
