row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019,Đơn vị tính: VND Từ ngày 01/06/2018 đến ngày 31/12/2018,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019,numeric__Đơn vị tính: VND Từ ngày 01/06/2018 đến ngày 31/12/2018
,,,III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,
31,31,31,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,0,0,,,0.0,0.0
32,32,32,"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,0,(7.200.000.000),,,0.0,-7200000000.0
33,33,33,3. Tiền thu từ đi vay,,7.508.729.530.334,5.737.800.940.309,,,7508729530334.0,5737800940309.0
34,34,34,4. Tiền trả nợ gốc vay,,(8.887.740.003.391),(5.957.112.498.804),,,-8887740003391.0,-5957112498804.0
35,35,35,5. Tiền trả nợ gốc thuê tài chính,,0,0,,,0.0,0.0
36,36,36,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(113.364.658.490),(281.141.466.271),,,-113364658490.0,-281141466271.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(1.492.375.131.547),(507.653.024.766),,,-1492375131547.0,-507653024766.0
50,50,50,Lưu chuyển tiền thuần trong năm (50 = 20+30+40),,1.956.552.752.238,644.688.938.388,,,1956552752238.0,644688938388.0
60,60,60,Tiền và tương đương tiền đầu năm,,5.159.740.351.097,4.519.257.499.380,,,5159740351097.0,4519257499380.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(1.505.151.538),(4.206.086.671),,,-1505151538.0,-4206086671.0
70,70,70,Tiền và tương đương tiền cuối năm (70 = 50+60+61),,7.114.787.951.797,5.159.740.351.097,,,7114787951797.0,5159740351097.0
