row_label_raw,row_label_full,Stt,Tên công ty con,Nơi thành lập và hoạt động,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động
1,1,1,Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,"Áp Trung Tâm, xã Xuân Lập, thị Xã Long Khánh, Tinh Đồng Nai",,
2,2,2,Công ty TNHH MTV Cao su Bình Long,"Quốc lộ 13, phương Hưng Chiến, thị xã Bình Long, tỉnh Bình Phước",,
3,3,3,Công ty TNHH MTV Cao su Đầu Tiếng,"Thị trấn Dầu Tiếng, huyện Dầu Tiếng, tỉnh Bình Dương",,
4,4,4,Công ty TNHH MTV Cao su Lộc Ninh,"Khu phố Ninh Thuận, thị trấn Lộc Ninh, huyện Lộc Ninh, tỉnh Bình Phước",,
5,5,5,Công ty TNHH MTV Cao su Phú Riềng,"Xã Phú Riềng, huyện Phú Riềng, tỉnh Bình Phước",,
6,6,6,Công ty TNHH MTV Cao su Krông Buk,"Xã Ea Hồ, huyện Krông Năng, tỉnh Đắk Lắk",,
7,7,7,Công ty TNHH MTV Cao su Eah Leo,"499 đường Giải Phóng, thị trấn Ea Đăng, huyện EaH’leo, tỉnh Đắk Lắk",,
8,8,8,Công ty TNHH MTV Cao su Chư Prông,"Xã la Drăng, huyện Chư Prông, tỉnh Gia Lai",,
9,9,9,Công ty TNHH MTV Cao su Chư Sê,"420 Hùng Vương, thị trấn Chư Sê, huyện Chư Sê, tỉnh Gia Lai",,
10,10,10,Công ty TNHH MTV Cao su Kon Tum,"258 Phan Đình Phùng, TP. Kon Tum, tỉnh Kon Tum",,
11,11,11,Công ty TNHH MTV Cao su Mang Yang,"536 Nguyễn Huệ, thị trấn Đắk Đoa, huyện Đắk Đoa, tỉnh Gia Lai",,
12,12,12,Công ty TNHH MTV Cao su Chư Pãh,"01 Nguyễn Thị Minh Khai, thị trấn Phú Hoà, huyện Chư Pãh, tỉnh Gia Lai",,
13,13,13,Công ty TNHH MTV Cao su Quảng Nam,"Quốc lộ 1 A, xã Bình Nguyên, huyện Thăng Bình, tỉnh Quảng Nam",,
