row_label_raw,row_label_full,09. Chi phí quản lý doanh nghiệp,Năm 2019,Từ ngày 01/06/2018đến ngày 31/12/2018,numeric__Năm 2019,numeric__Từ ngày 01/06/2018đến ngày 31/12/2018
- Chi phí nhân viên,- Chi phí nhân viên,- Chi phí nhân viên,690.814.697.120,437.589.882.296,690814697120.0,437589882296.0
- Chi phí vật liệu,- Chi phí vật liệu,- Chi phí vật liệu,85.137.325.617,37.728.128.016,85137325617.0,37728128016.0
"- Chi phí dụng cụ, đồ dùng","- Chi phí dụng cụ, đồ dùng","- Chi phí dụng cụ, đồ dùng",18.038.679.479,12.044.270.716,18038679479.0,12044270716.0
- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,80.124.930.560,54.759.274.237,80124930560.0,54759274237.0
"- Thuế, phí và lệ phí","- Thuế, phí và lệ phí","- Thuế, phí và lệ phí",47.914.563.883,21.690.666.633,47914563883.0,21690666633.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,160.964.033.011,34.456.910.492,160964033011.0,34456910492.0
- Trích Quỹ khoa học công nghệ,- Trích Quỹ khoa học công nghệ,- Trích Quỹ khoa học công nghệ,17.296.486.348,7.000.000.000,17296486348.0,7000000000.0
- Chi phí dự phòng,- Chi phí dự phòng,- Chi phí dự phòng,70.335.748.926,540.395.463.726,70335748926.0,540395463726.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,458.735.860.701,301.735.501.094,458735860701.0,301735501094.0
Cộng,Cộng,Cộng,1.629.362.325.645,1.447.400.097.210,1629362325645.0,1447400097210.0
