row_label_raw,row_label_full,Nhóm nợ,Nhóm nợ_1,Tình trạng quá hạn,Tỷ lệ trích lập dự phòng rủi ro,numeric__Nhóm nợ_1,numeric__Tình trạng quá hạn,numeric__Tỷ lệ trích lập dự phòng rủi ro
1,1,1,Nợ đủ tiêu chuẩn,Khoản vay trong hạn hoặc quá hạn dưới 10 ngày,0%,,,0.0
2,2,2,Nợ cần chú ý,- Quá hạn từ 10 ngày đến 90 ngày; hoặc- Được cơ cấu lại thời hạn trả nợ lần thứ nhất (nếu khách hàng được đánh giá là đủ khả năng hoàn trả cả gốc lần lãi theo thời hạn đã được cơ cấu lại lần thứ nhất áp dụng đối với khách hàng là doanh nghiệp và tổ chức).,5%,,,0.05
3,3,3,Nợ dưới tiêu chuẩn,"- Quá hạn từ 91 ngày đến 180 ngày; hoặc- Được cơ cấu lại thời hạn trả nợ lần thứ nhất ngoại trừ các khoản cho vay có thời hạn trả nợ được cơ cấu lại đã được phân loại vào Nhóm 2 ở trên; hoặc- Các khoản cho vay được miễn, giảm tiền lãi do khách hàng không có khả năng thanh toán tiền lãi theo hợp đồng.",20%,,,0.2
4,4,4,Nợ nghi ngờ,- Quá hạn từ 181 ngày đến 360 ngày; hoặc- Được cơ cấu lại thời hạn trả nợ lần thứ nhất vào quá hạn dưới 90 ngày tính theo thời hạn trả nợ được cơ cấu lại lần thứ nhất; hoặc- Được cơ cấu lại thời hạn trả nợ lần thứ 2.,50%,,,0.5
5,5,5,Nợ có khả năng mất vốn,"- Quá hạn trên 360 ngày; hoặc- Được cơ cấu lại thời hạn trả nợ lần thứ nhất vào quá hạn từ 90 ngày trở lên tính theo thời hạn trả nợ được đã cơ cấu lại lần thứ nhất; hoặc- Được cơ cấu lại thời hạn trả nợ lần thứ 2 và đã bị quá hạn tính theo thời hạn trả nợ đã được cơ cấu lại lần thứ 2; hoặc- Được cơ cấu lại thời hạn trả nợ lần thứ 3; hoặc- Các khoản nợ khoanh, nợ chờ xử lý.",100%,,,1.0
