row_label_raw,row_label_full,08. Hàng tồn kho,31/12/2019,31/12/2019_1,01/01/2019,01/01/2019_1,numeric__31/12/2019,numeric__31/12/2019_1,numeric__01/01/2019,numeric__01/01/2019_1
08. Hàng tồn kho,08. Hàng tồn kho,08. Hàng tồn kho,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi đường,08. Hàng tồn kho > Hàng mua đang đi đường,Hàng mua đang đi đường,62.310.618.242,-,92.834.564.534,-,62310618242.0,,92834564534.0,
"Nguyên liệu, vật liệu tồn kho","08. Hàng tồn kho > Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",520.988.357.492,(9.107.645.418),243.231.518.196,(4.307.885.229),520988357492.0,-9107645418.0,243231518196.0,-4307885229.0
"Công cụ, dụng cụ trong kho","08. Hàng tồn kho > Công cụ, dụng cụ trong kho","Công cụ, dụng cụ trong kho",258.196.772.719,-,253.054.233.567,-,258196772719.0,,253054233567.0,
Chi phí SXKD dở dang,08. Hàng tồn kho > Chi phí SXKD dở dang,Chi phí SXKD dở dang,809.275.432.743,(1.704.696.000),611.451.764.090,(3.292.987.114),809275432743.0,-1704696000.0,611451764090.0,-3292987114.0
Thành phẩm tồn kho,08. Hàng tồn kho > Thành phẩm tồn kho,Thành phẩm tồn kho,1.698.071.198.059,(20.889.384.955),1.798.370.792.080,(46.371.246.378),1698071198059.0,-20889384955.0,1798370792080.0,-46371246378.0
Hàng hóa tồn kho,08. Hàng tồn kho > Hàng hóa tồn kho,Hàng hóa tồn kho,148.263.977.852,(35.315.893.965),296.985.123.577,(3.054.835.961),148263977852.0,-35315893965.0,296985123577.0,-3054835961.0
Hàng gửi đi bán,08. Hàng tồn kho > Hàng gửi đi bán,Hàng gửi đi bán,62.981.266.232,-,33.273.403.307,-,62981266232.0,,33273403307.0,
Hàng hóa bất động sản,08. Hàng tồn kho > Hàng hóa bất động sản,Hàng hóa bất động sản,13.745.601.075,-,13.677.215.000,-,13745601075.0,,13677215000.0,
Cộng,08. Hàng tồn kho > Cộng,Cộng,3.573.833.224.414,(67.017.620.338),3.342.878.614.351,(57.026.954.682),3573833224414.0,-67017620338.0,3342878614351.0,-57026954682.0
