row_label_raw,row_label_full,Stt,Tên công ty,Báo cáo tài chính tham gia hợp nhất,numeric__Tên công ty,numeric__Báo cáo tài chính tham gia hợp nhất
1,1,1,Công ty mẹ - Tập đoàn Công nghiệp Cao su Việt Nam,Báo cáo tài chính riêng đã được kiểm toán,,
2,2,2,Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,Báo cáo tài chính riêng đã được kiểm toán,,
3,3,3,Công ty TNHH MTV Cao su Dầu Tiếng,Báo cáo tài chính riêng đã được kiểm toán,,
4,4,4,Công ty TNHH MTV Cao su Bình Long,Báo cáo tài chính đã được kiểm toán,,
5,5,5,Công ty TNHH MTV Cao su Lộc Ninh,Báo cáo tài chính riêng đã được kiểm toán,,
6,6,6,Công ty TNHH MTV Cao su Phú Riềng,Báo cáo tài chính riêng đã được kiểm toán,,
7,7,7,Công ty TNHH MTV Cao su Nam Giang - Quảng Nam,Báo cáo tài chính đã được kiểm toán,,
8,8,8,Công ty TNHH MTV Cao su Krông Buk,Báo cáo tài chính riêng đã được kiểm toán,,
9,9,9,Công ty TNHH MTV Cao su Eah Leo,Báo cáo tài chính đã được kiểm toán,,
10,10,10,Công ty TNHH MTV Cao su Chư Pãh,Báo cáo tài chính riêng đã được kiểm toán,,
11,11,11,Công ty TNHH MTV Cao su Chư Prông,Báo cáo tài chính riêng đã được kiểm toán,,
12,12,12,Công ty TNHH MTV Cao su Mang Yang,Báo cáo tài chính riêng đã được kiểm toán,,
13,13,13,Công ty TNHH MTV Cao su Chư Sê,Báo cáo tài chính riêng đã được kiểm toán,,
14,14,14,Công ty TNHH MTV Cao su Kon Tum,Báo cáo tài chính riêng đã được kiểm toán,,
15,15,15,Công ty TNHH MTV Cao su Bình Thuận,Báo cáo tài chính đã được kiểm toán,,
16,16,16,Công ty TNHH MTV Cao su Quảng Trị,Báo cáo tài chính riêng đã được kiểm toán,,
17,17,17,Công ty TNHH MTV Cao su Quảng Nam,Báo cáo tài chính riêng đã được kiểm toán,,
18,18,18,Công ty TNHH MTV Cao su Quảng Ngãi,Báo cáo tài chính đã được kiểm toán,,
19,19,19,Công ty TNHH MTV Cao su Hà Tĩnh,Báo cáo tài chính riêng đã được kiểm toán,,
20,20,20,Công ty TNHH MTV Cao su Hương Khê - Hà Tĩnh,Báo cáo tài chính đã được kiểm toán,,
21,21,21,Công ty TNHH MTV Cao su Thanh Hóa,Báo cáo tài chính đã được kiểm toán,,
22,22,22,Viện Nghiên cứu Cao su,Báo cáo tài chính đã được kiểm toán,,
23,23,23,Trung Tâm Y tế,Báo cáo tài chính,,
24,24,24,Tạp chí Cao su,Báo cáo tài chính đã được kiểm toán,,
25,25,25,Trường Cao đẳng CN Cao su,Báo cáo tài chính đã được kiểm toán,,
26,26,26,Công ty CP Thủy điện Genuco Sông Côn,Báo cáo tài chính đã được kiểm toán,,
27,27,27,Công ty CP VRG - Bảo Lộc,Báo cáo tài chính đã được kiểm toán,,
