row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Đơn vị: Triệu VND > Số đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: Triệu VND > Số đầu năm (Trình bày lại)
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,"Tiền mặt, vàng",5,4.126.627,3.105.342,,5.0,4126627.0,3105342.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,59.678.820,26.502.360,,6.0,59678820.0,26502360.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,187.834.057,106.673.177,,7.0,187834057.0,106673177.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,156.312.673,94.198.824,,,156312673.0,94198824.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,31.521.384,12.474.353,,,31521384.0,12474353.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,8,490.537,21.955.775,,8.0,490537.0,21955775.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,490.537,21.955.775,,,490537.0,21955775.0
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,237.804,36.973,,9.0,237804.0,36973.0
VI.,A. > VI.,VI.,Cho vay khách hàng,,517.879.213,419.084.918,,,517879213.0,419084918.0
1.,A. > 1.,1.,Cho vay khách hàng,10,524.300.889,424.272.721,,10.0,524300889.0,424272721.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(6.421.676),(5.187.803),,11.0,-6421676.0,-5187803.0
VII.,A. > VII.,VII.,Hoạt động mua nợ,12,23.746.425,-,,12.0,23746425.0,
1.,A. > 1.,1.,Mua nợ,,23.925.869,-,,,23925869.0,
2.,A. > 2.,2.,Dự phòng rủi ro hoạt động mua nợ,,(179.444),-,,,-179444.0,
VIII.,A. > VIII.,VIII.,Chứng khoán đầu tư,13,76.811.704,48.751.284,,13.0,76811704.0,48751284.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,13.1,72.904.811,31.407.524,,131.0,72904811.0,31407524.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,4.039.836,17.436.610,,132.0,4039836.0,17436610.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,13.5,(132.943),(92.850),,135.0,-132943.0,-92850.0
IX.,A. > IX.,IX.,"Góp vốn, đầu tư dài hạn",14,1.990.257,2.000.807,,14.0,1990257.0,2000807.0
1.,A. > 1.,1.,Đầu tư vào công ty con,,1.214.688,1.214.688,,,1214688.0,1214688.0
2.,A. > 2.,2.,Đầu tư vào công ty liên kết,,658.075,658.075,,,658075.0,658075.0
3.,A. > 3.,3.,Đầu tư dài hạn khác,,125.667,146.546,,,125667.0,146546.0
4.,A. > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,,(8.173),(18.502),,,-8173.0,-18502.0
X.,A. > X.,X.,Tài sán cố định,,1.839.570,1.736.698,,,1839570.0,1736698.0
1.,A. > 1.,1.,Tài sán cố định hữu hình,15,954.176,861.092,,15.0,954176.0,861092.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,2.071.950,1.881.349,,,2071950.0,1881349.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(1.117.774),(1.020.257),,,-1117774.0,-1020257.0
2.,A. > 2.,2.,Tài sán cố định vô hình,16,885.394,875.606,,16.0,885394.0,875606.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,1.351.491,1.250.474,,,1351491.0,1250474.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(466.097),(374.868),,,-466097.0,-374868.0
XI.,A. > XI.,XI.,Tài sán Có khác,17,38.599.626,55.128.234,,17.0,38599626.0,55128234.0
1.,A. > 1.,1.,Các khoản phải thu,17.1,22.151.038,46.185.023,,171.0,22151038.0,46185023.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",17.2,5.988.179,5.270.744,,172.0,5988179.0,5270744.0
3.,A. > 3.,3.,Tài sán thuế TNDN hoãn lại,,33.912,155.916,,,33912.0,155916.0
4.,A. > 4.,4.,Tài sán Có khác,17.3,10.473.899,3.563.477,,173.0,10473899.0,3563477.0
5.,A. > 5.,5.,Dự phòng rủi ro cho các tài sán Có nội bảng khác,17.5,(47.402),(46.926),,175.0,-47402.0,-46926.0
,,,TỔNG TÀI SẢN CÓ,,913.234.640,684.975.568,,,913234640.0,684975568.0
