row_label_raw,row_label_full,STT,CHỈ TIỀU,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIỀU,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
01.,01.,01.,Mua sắm tài sản cố định,(349.185),(532.623),,-349185.0,-532623.0
02.,02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",207.167,815,,207167.0,815.0
03.,03.,03.,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",-,(658.075),,,-658075.0
04.,04.,04.,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",11.880,17.375,,11880.0,17375.0
05.,05.,05.,"Tiền thu cố tức và lợi nhuận được chia tử các khoản đầu tư,góp vốn dài hạn",8.521,250.000,,8521.0,250000.0
II.,II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(121.617),(922.508),,-121617.0,-922508.0
,,,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,01.,01.,Tăng vốn từ phát hành cố phiếu,4.179.573,200.000,,4179573.0,200000.0
02.,02.,02.,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiệntính vào vốn tự có và các khoản vốn vay dài hạn khác,11.431.600,17.301.667,,11431600.0,17301667.0
03.,03.,03.,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tínhvào vốn tự có và các khoản vốn vay dài hạn khác,(8.253.023),(1.174.800),,-8253023.0,-1174800.0
04.,04.,04.,Cố tức trả cho cố động,-,(2.912.549),,,-2912549.0
05.,05.,05.,Tiền thu được do bán cố phiếu quỹ,465.528,-,,465528.0,
III.,III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,7.823.678,13.414.318,,7823678.0,13414318.0
IV.,IV.,IV.,Lưu chuyển tiền thuần trong năm,83.061.594,4.869.811,,83061594.0,4869811.0
V.,V.,V.,Tiền và các khoản tương đương tiền đầu năm,137.056.526,132.186.715,,137056526.0,132186715.0
VI.,VI.,VI.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 36),220.118.120,137.056.526,,220118120.0,137056526.0
