row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Tài sản,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Công nợ,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Tài sản,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Công nợ
,,,Triệu VND,Triệu VND,Triệu VND,,,
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2025 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,89.000.557,273.850,36.046,89000557.0,273850.0,36046.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2025 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,4.628.820,-,36.046,4628820.0,,36046.0
- Giao dịch hoán đối tiền tệ,Tại ngày 31 tháng 12 năm 2025 > - Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,84.371.737,273.850,-,84371737.0,273850.0,
Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,-,-,-,,,
- Giao dịch hoán đối lãi suất tiền tệ chéo,- Giao dịch hoán đối lãi suất tiền tệ chéo,- Giao dịch hoán đối lãi suất tiền tệ chéo,-,-,-,,,
,,,89.000.557,273.850,36.046,89000557.0,273850.0,36046.0
Giá trị thuần,- Giao dịch hoán đối lãi suất tiền tệ chéo > Giá trị thuần,Giá trị thuần,,237.804,,,237804.0,
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,92.930.954,43.955,3.182,92930954.0,43955.0,3182.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2024 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,3.420.583,-,3.182,3420583.0,,3182.0
- Giao dịch hoán đối tiền tệ,Tại ngày 31 tháng 12 năm 2024 > - Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,89.510.371,43.955,-,89510371.0,43955.0,
Công cụ tài chính phải sinh lãi suất,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,977.800,-,3.800,977800.0,,3800.0
- Giao dịch hoán đối lãi suất tiền tệ chéo,Tại ngày 31 tháng 12 năm 2024 > - Giao dịch hoán đối lãi suất tiền tệ chéo,- Giao dịch hoán đối lãi suất tiền tệ chéo,977.800,-,3.800,977800.0,,3800.0
,,,93.908.754,43.955,6.982,93908754.0,43955.0,6982.0
Giá trị thuần,Tại ngày 31 tháng 12 năm 2024 > Giá trị thuần,Giá trị thuần,,36.973,,,36973.0,
