row_label_raw,row_label_full,col_0,Số cuối năm > Triệu VND,Số cuối năm > Số đầu nămTriệu VND,numeric__Số cuối năm > Triệu VND,numeric__Số cuối năm > Số đầu nămTriệu VND
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,
Tiền gửi của khách hàng,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tiền gửi của khách hàng,Tiền gửi của khách hàng,8.797.126,7.203.382,8797126.0,7203382.0
- Tiền gửi thanh toán,Cổ đông lớn và các bên liên quan với cổ đông lớn > - Tiền gửi thanh toán,- Tiền gửi thanh toán,5.728.692,3.579.821,5728692.0,3579821.0
- Tiền gửi có kỳ hạn,Cổ đông lớn và các bên liên quan với cổ đông lớn > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,2.613.952,3.479.858,2613952.0,3479858.0
- Tiền gửi tiết kiệm,Cổ đông lớn và các bên liên quan với cổ đông lớn > - Tiền gửi tiết kiệm,- Tiền gửi tiết kiệm,440.482,129.703,440482.0,129703.0
"- Tiền gửi ký quỹ, đảm bảo thanh toán","Cổ đông lớn và các bên liên quan với cổ đông lớn > - Tiền gửi ký quỹ, đảm bảo thanh toán","- Tiền gửi ký quỹ, đảm bảo thanh toán",14.000,14.000,14000.0,14000.0
Cho vay khách hàng,Cổ đông lớn và các bên liên quan với cổ đông lớn > Cho vay khách hàng,Cho vay khách hàng,106.748,148.129,106748.0,148129.0
Lãi dự thu tử cho vay,Cổ đông lớn và các bên liên quan với cổ đông lớn > Lãi dự thu tử cho vay,Lãi dự thu tử cho vay,314,419,314.0,419.0
Công ty con (HD SAISON),Công ty con (HD SAISON),Công ty con (HD SAISON),Công ty con (HD SAISON),Công ty con (HD SAISON),,
Tiền gửi của TCTD tại Ngân hàng,Công ty con (HD SAISON) > Tiền gửi của TCTD tại Ngân hàng,Tiền gửi của TCTD tại Ngân hàng,1.564.312,733.707,1564312.0,733707.0
- Tiền gửi thanh toán,Công ty con (HD SAISON) > - Tiền gửi thanh toán,- Tiền gửi thanh toán,314.312,183.707,314312.0,183707.0
- Tiền gửi có kỳ hạn,Công ty con (HD SAISON) > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,1.250.000,550.000,1250000.0,550000.0
Cho vay TCTD,Công ty con (HD SAISON) > Cho vay TCTD,Cho vay TCTD,3.600.000,5.100.000,3600000.0,5100000.0
Lãi dự thu tử cho vay,Công ty con (HD SAISON) > Lãi dự thu tử cho vay,Lãi dự thu tử cho vay,123.909,214.655,123909.0,214655.0
Lãi phải trả giao dịch hoán đối tiền tệ,Công ty con (HD SAISON) > Lãi phải trả giao dịch hoán đối tiền tệ,Lãi phải trả giao dịch hoán đối tiền tệ,6.491,562,6491.0,562.0
Cam kết trong giao dịch hoán đối tiền tệ,Công ty con (HD SAISON) > Cam kết trong giao dịch hoán đối tiền tệ,Cam kết trong giao dịch hoán đối tiền tệ,1.689.335,353.575,1689335.0,353575.0
Công ty con (Vikki Bank),Công ty con (Vikki Bank),Công ty con (Vikki Bank),Công ty con (Vikki Bank),Công ty con (Vikki Bank),,
Tiền gửi của TCTD tại Ngân hàng,Công ty con (Vikki Bank) > Tiền gửi của TCTD tại Ngân hàng,Tiền gửi của TCTD tại Ngân hàng,10.312.556,-,10312556.0,
- Tiền gửi thanh toán,Công ty con (Vikki Bank) > - Tiền gửi thanh toán,- Tiền gửi thanh toán,2.812.556,-,2812556.0,
- Tiền gửi có kỳ hạn,Công ty con (Vikki Bank) > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,7.500.000,-,7500000.0,
Cho vay TCTD,Công ty con (Vikki Bank) > Cho vay TCTD,Cho vay TCTD,27.921.384,-,27921384.0,
Lãi dự thu tử cho vay,Công ty con (Vikki Bank) > Lãi dự thu tử cho vay,Lãi dự thu tử cho vay,101.882,-,101882.0,
Cam kết trong giao dịch hoán đối tiền tệ,Công ty con (Vikki Bank) > Cam kết trong giao dịch hoán đối tiền tệ,Cam kết trong giao dịch hoán đối tiền tệ,2.477.685,-,2477685.0,
