row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ' PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,18,11.425.972,15.434,,18.0,11425972.0,15434.0
1.,B. > 1.,1.,"Tiền gửi và vay Chính phủ, NHNN",,11.425.972,15.434,,,11425972.0,15434.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,19,165.738.872,97.367.831,,19.0,165738872.0,97367831.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,19.1,130.973.089,75.610.753,,191.0,130973089.0,75610753.0
2.,B. > 2.,2.,Vay các TCTD khác,19.2,34.765.783,21.757.078,,192.0,34765783.0,21757078.0
III.,B. > III.,III.,Tiền gửi của khách hàng,20,560.714.282,437.505.165,,20.0,560714282.0,437505165.0
IV.,B. > IV.,IV.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,2.721.952,2.788.443,,21.0,2721952.0,2788443.0
V.,B. > V.,V.,Phát hành giấy tờ có giá,22,79.189.265,75.559.744,,22.0,79189265.0,75559744.0
VI.,B. > VI.,VI.,Các khoản nợ khác,,19.757.486,18.270.981,,,19757486.0,18270981.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",23.1,9.104.200,7.868.597,,231.0,9104200.0,7868597.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,23.2,10.653.286,10.402.384,,232.0,10653286.0,10402384.0
,,,TỔNG NỘ' PHẢI TRẢ,,839.547.829,631.507.598,,,839547829.0,631507598.0
VII.,B. > VII.,VII.,Vốn chủ sở hữu,25,73.686.811,53.467.970,,25.0,73686811.0,53467970.0
1.,B. > 1.,1.,Vốn của TCTD,,51.327.726,35.224.020,,,51327726.0,35224020.0
a.,B. > a.,a.,Vốn điều lệ,,50.052.763,35.101.423,,,50052763.0,35101423.0
b.,B. > b.,b.,Vốn đầu tư xây dựng cơ bản,,89,89,,,89.0,89.0
c.,B. > c.,c.,Thặng dư vốn cổ phần,,1.274.874,535.956,,,1274874.0,535956.0
d.,B. > d.,d.,Cổ phiếu quỹ,,-,(413.448),,,,-413448.0
2.,B. > 2.,2.,Quỹ của TCTD,,9.440.273,5.828.283,,,9440273.0,5828283.0
3.,B. > 3.,3.,Lợi nhuận chưa phân phối,,12.918.812,12.415.667,,,12918812.0,12415667.0
,,,TỔNG NỘ' PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,913.234.640,684.975.568,,,913234640.0,684975568.0
