row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Phải thu từ nghiệp vụ mua hẩn miễn truy đồi,Phải thu từ nghiệp vụ mua hẩn miễn truy đồi,Phải thu từ nghiệp vụ mua hẩn miễn truy đồi,8.827.683,33.641.885,8827683.0,33641885.0
bộ chứng từ do Ngân hàng phát hành,bộ chứng từ do Ngân hàng phát hành,bộ chứng từ do Ngân hàng phát hành,,,,
Phải thu từ nghiệp vụ mua hẩn miễn truy đồi,bộ chứng từ do Ngân hàng phát hành > Phải thu từ nghiệp vụ mua hẩn miễn truy đồi,Phải thu từ nghiệp vụ mua hẩn miễn truy đồi,3.593.764,3.610.437,3593764.0,3610437.0
bộ chứng từ do TCTD khác phát hành,bộ chứng từ do TCTD khác phát hành,bộ chứng từ do TCTD khác phát hành,,,,
Phải thu tổ chức thể,bộ chứng từ do TCTD khác phát hành > Phải thu tổ chức thể,Phải thu tổ chức thể,5.621.500,5.652.930,5621500.0,5652930.0
"Ký quỹ, đặt cọc","bộ chứng từ do TCTD khác phát hành > Ký quỹ, đặt cọc","Ký quỹ, đặt cọc",105.771,99.856,105771.0,99856.0
Tạm ứng chỉ phí xử lý tài sản đảm báo,bộ chứng từ do TCTD khác phát hành > Tạm ứng chỉ phí xử lý tài sản đảm báo,Tạm ứng chỉ phí xử lý tài sản đảm báo,149.591,93.442,149591.0,93442.0
Phải thu từ thanh lý TSCĐ,bộ chứng từ do TCTD khác phát hành > Phải thu từ thanh lý TSCĐ,Phải thu từ thanh lý TSCĐ,-,205.000,,205000.0
Khác,bộ chứng từ do TCTD khác phát hành > Khác,Khác,948.888,368.611,948888.0,368611.0
,,,19.247.197,43.672.161,19247197.0,43672161.0
