row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtcó thời hạn,Quyềnsử dụng đấtkhông thời hạn,Phần mềmmáy tính,Tài sản cố địnhvõ hình khác,Tổng cộng,numeric__Quyềnsử dụng đấtcó thời hạn,numeric__Quyềnsử dụng đấtkhông thời hạn,numeric__Phần mềmmáy tính,numeric__Tài sản cố địnhvõ hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,115.938,611.763,521.772,1.001,1.250.474,115938.0,611763.0,521772.0,1001.0,1250474.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,101.017,-,101.017,,,101017.0,,101017.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,115.938,611.763,622.789,1.001,1.351.491,115938.0,611763.0,622789.0,1001.0,1351491.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,16.506,-,358.011,351,374.868,16506.0,,358011.0,351.0,374868.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,2.372,-,88.857,-,91.229,2372.0,,88857.0,,91229.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,18.878,-,446.868,351,466.097,18878.0,,446868.0,351.0,466097.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,99.432,611.763,163.761,650,875.606,99432.0,611763.0,163761.0,650.0,875606.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,97.060,611.763,175.921,650,885.394,97060.0,611763.0,175921.0,650.0,885394.0
