row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải,"Thiết bị,dụng cụquản lý",TSCĐ hữuhình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải,"numeric__Thiết bị,dụng cụquản lý",numeric__TSCĐ hữuhình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,593.779,469.289,477.570,311.203,29.508,1.881.349,593779.0,469289.0,477570.0,311203.0,29508.0,1881349.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,74.846,66.947,71.093,23.188,12.054,248.128,74846.0,66947.0,71093.0,23188.0,12054.0,248128.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.776),(16.183),(17.096),(16.213),(259),(57.527),-7776.0,-16183.0,-17096.0,-16213.0,-259.0,-57527.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,660.849,520.053,531.567,318.178,41.303,2.071.950,660849.0,520053.0,531567.0,318178.0,41303.0,2071950.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,180.065,225.253,326.691,272.287,15.961,1.020.257,180065.0,225253.0,326691.0,272287.0,15961.0,1020257.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.126,55.972,44.583,22.777,3.834,151.292,24126.0,55972.0,44583.0,22777.0,3834.0,151292.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.052),(16.155),(17.096),(16.213),(259),(53.775),-4052.0,-16155.0,-17096.0,-16213.0,-259.0,-53775.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,200.139,265.070,354.178,278.851,19.536,1.117.774,200139.0,265070.0,354178.0,278851.0,19536.0,1117774.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,413.714,244.036,150.879,38.916,13.547,861.092,413714.0,244036.0,150879.0,38916.0,13547.0,861092.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,460.710,254.983,177.389,39.327,21.767,954.176,460710.0,254983.0,177389.0,39327.0,21767.0,954176.0
