row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá,Đã quá hạn và chưa bị giảm giá,Đã bị giảm giá và trích lập dự phòng,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá,numeric__Đã quá hạn và chưa bị giảm giá,numeric__Đã bị giảm giá và trích lập dự phòng,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,187.834.057,-,-,187.834.057,187834057.0,,,187834057.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,156.312.673,-,-,156.312.673,156312673.0,,,156312673.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,31.521.384,-,-,31.521.384,31521384.0,,,31521384.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),495.231.711,3.453.556,25.615.622,524.300.889,495231711.0,3453556.0,25615622.0,524300889.0
Hoạt động mua nợ (*),Hoạt động mua nợ (*),Hoạt động mua nợ (*),23.925.869,-,-,23.925.869,23925869.0,,,23925869.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),54.014.246,-,-,54.014.246,54014246.0,,,54014246.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,53.200.231,-,-,53.200.231,53200231.0,,,53200231.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,814.015,-,-,814.015,814015.0,,,814015.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),3.593.764,-,-,3.593.764,3593764.0,,,3593764.0
Tổng cộng,Tổng cộng,Tổng cộng,764.599.647,3.453.556,25.615.622,793.668.825,764599647.0,3453556.0,25615622.0,793668825.0
