row_label_raw,row_label_full,col_0,Vốn điều lệ(**),Thặng dưvốn cốphần,Cổ phiếuquỹ,Quỹ dự trữbố sungvốn điều lệ,Quỹdự phòngtài chính,Cácquỹ khác,Vốn đầu tưxây dựngcơ bản,Lợi nhuậnchưa phân phối,Tổng cộng,numeric__Vốn điều lệ(**),numeric__Thặng dưvốn cốphần,numeric__Cổ phiếuquỹ,numeric__Quỹ dự trữbố sungvốn điều lệ,numeric__Quỹdự phòngtài chính,numeric__Cácquỹ khác,numeric__Vốn đầu tưxây dựngcơ bản,numeric__Lợi nhuậnchưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,TriệuVND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tại ngày 01 tháng 01 năm 2024,Tại ngày 01 tháng 01 năm 2024,Tại ngày 01 tháng 01 năm 2024,29.076.321,535.956,(413.448),1.301.226,2.870.440,121.938,89,10.259.562,43.752.084,29076321.0,535956.0,-413448.0,1301226.0,2870440.0,121938.0,89.0,10259562.0,43752084.0
Phát hành cố phiếu cho người lao động,Phát hành cố phiếu cho người lao động,Phát hành cố phiếu cho người lao động,200.000,-,-,-,-,-,-,-,200.000,200000.0,,,,,,,,200000.0
Phát hành cố phiếu để trả cố tức,Phát hành cố phiếu để trả cố tức,Phát hành cố phiếu để trả cố tức,5.825.102,-,-,-,-,-,-,(5.825.102),-,5825102.0,,,,,,,-5825102.0,
Chỉ trả cố tức bằng tiền,Chỉ trả cố tức bằng tiền,Chỉ trả cố tức bằng tiền,-,-,-,-,-,-,-,(2.912.549),(2.912.549),,,,,,,,-2912549.0,-2912549.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,12.456.594,12.456.594,,,,,,,,12456594.0,12456594.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,509.279,1.018.559,25.000,-,(1.552.838),-,,,,509279.0,1018559.0,25000.0,,-1552838.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(10.000),(10.000),,,,,,,,-10000.0,-10000.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(18.159),-,-,(18.159),,,,,,-18159.0,,,-18159.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,35.101.423,535.956,(413.448),1.810.505,3.888.999,128.779,89,12.415.667,53.467.970,35101423.0,535956.0,-413448.0,1810505.0,3888999.0,128779.0,89.0,12415667.0,53467970.0
Tăng vốn điều lệ từ nguồnVốn chủ sở hữu,Tăng vốn điều lệ từ nguồnVốn chủ sở hữu,Tăng vốn điều lệ từ nguồnVốn chủ sở hữu,1.810.065,-,-,(1.810.065),-,-,-,-,-,1810065.0,,,-1810065.0,,,,,
Phát hành cố phiếu để trả cố tức,Phát hành cố phiếu để trả cố tức,Phát hành cố phiếu để trả cố tức,9.648.540,-,-,-,-,-,-,(9.648.540),-,9648540.0,,,,,,,-9648540.0,
Phát hành cố phiếu đếchuyển đối trái phiếu,Phát hành cố phiếu đếchuyển đối trái phiếu,Phát hành cố phiếu đếchuyển đối trái phiếu,3.492.735,686.838,-,-,-,-,-,-,4.179.573,3492735.0,686838.0,,,,,,,4179573.0
Bán cố phiếu quỹ,Bán cố phiếu quỹ,Bán cố phiếu quỹ,-,52.080,413.448,-,-,-,-,-,465.528,,52080.0,413448.0,,,,,,465528.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,15.664.202,15.664.202,,,,,,,,15664202.0,15664202.0
Trích lập các quỹ trong năm (*),Trích lập các quỹ trong năm (*),Trích lập các quỹ trong năm (*),-,-,-,2.812.079,2.655.438,25.000,-,(5.492.517),-,,,,2812079.0,2655438.0,25000.0,,-5492517.0,
"Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)",-,-,-,-,-,-,-,(20.000),(20.000),,,,,,,,-20000.0,-20000.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(70.462),-,-,(70.462),,,,,,-70462.0,,,-70462.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,50.052.763,1.274.874,-,2.812.519,6.544.437,83.317,89,12.918.812,73.686.811,50052763.0,1274874.0,,2812519.0,6544437.0,83317.0,89.0,12918812.0,73686811.0
