row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nay,Năm trước,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước
Họ và tên,Họ và tên,Họ và tên,Chức vụ,Triệu VND,Triệu VND,,,
HỘI ĐỒNG QUẢN TRỊ,Họ và tên > HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,,19.402,27.323,,19402.0,27323.0
Ông Kim Byoungho,Họ và tên > Ông Kim Byoungho,Ông Kim Byoungho,"Chủ tịch, Thành viên độc lập",7.480,15.085,,7480.0,15085.0
Bà Nguyễn Thị Phương Thảo,Họ và tên > Bà Nguyễn Thị Phương Thảo,Bà Nguyễn Thị Phương Thảo,Phó Chủ tịch thường trực,3.129,3.692,,3129.0,3692.0
Ông Lưu Đức Khánh,Họ và tên > Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,Phó Chủ tịch,738,888,,738.0,888.0
Ông Nguyễn Thành Đô,Họ và tên > Ông Nguyễn Thành Đô,Ông Nguyễn Thành Đô,Phó Chủ tịch,2.991,2.410,,2991.0,2410.0
Ông Phạm Quốc Thanh,Họ và tên > Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Phó Chủ tịch,2.786,858,,2786.0,858.0
Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Phó Chủ tịch,,,,,
Ông Nguyễn Hữu Đăng,Ông Phạm Quốc Thanh > Ông Nguyễn Hữu Đăng,Ông Nguyễn Hữu Đăng,(dến ngày 07 tháng 01 năm 2025),145,2.514,,145.0,2514.0
Ông Lê Mạnh Dũng,Ông Phạm Quốc Thanh > Ông Lê Mạnh Dũng,Ông Lê Mạnh Dũng,Thành viên độc lập,2.133,1.876,,2133.0,1876.0
BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,Ông Phạm Quốc Thanh > BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,26.716,31.122,,26716.0,31122.0
Ông Nguyễn Hữu Đăng,Ông Phạm Quốc Thanh > Ông Nguyễn Hữu Đăng,Ông Nguyễn Hữu Đăng,Tổng Giám đốc(từ ngày 13 tháng 05 năm 2025),2.732,-,,2732.0,
Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh > Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Tổng Giám đốc(dến ngày 12 tháng 05 năm 2025),1.800,3.476,,1800.0,3476.0
Ông Nguyễn Minh Đức,Ông Phạm Quốc Thanh > Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Phó Tổng Giám đốc,3.134,2.621,,3134.0,2621.0
Ông Nguyễn Văn Hảo,Ông Phạm Quốc Thanh > Ông Nguyễn Văn Hảo,Ông Nguyễn Văn Hảo,Phó Tổng Giám đốc,2.740,2.063,,2740.0,2063.0
Ông Trần Thái Hòa,Ông Phạm Quốc Thanh > Ông Trần Thái Hòa,Ông Trần Thái Hòa,Phó Tổng Giám đốc,2.431,1.615,,2431.0,1615.0
Ông Trần Hoài Nam,Ông Phạm Quốc Thanh > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Phó Tổng Giám đốc,2.936,2.371,,2936.0,2371.0
Ông Đảm Thế Thái,Ông Phạm Quốc Thanh > Ông Đảm Thế Thái,Ông Đảm Thế Thái,Phó Tổng Giám đốc(từ ngày 01 tháng 06 năm 2025),1.410,-,,1410.0,
Ông Lê Thanh Tùng,Ông Phạm Quốc Thanh > Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Phó Tổng Giám đốc(dến ngày 31 tháng 05 năm 2025),1.023,1.928,,1023.0,1928.0
Ông Nguyễn Đăng Thanh,Ông Phạm Quốc Thanh > Ông Nguyễn Đăng Thanh,Ông Nguyễn Đăng Thanh,Phó Tổng Giám đốc(dến ngày 31 tháng 05 năm 2025),1.139,2.501,,1139.0,2501.0
Ông Nguyễn Cảnh Vinh,Ông Phạm Quốc Thanh > Ông Nguyễn Cảnh Vinh,Ông Nguyễn Cảnh Vinh,Phó Tổng Giám đốc(dến ngày 05 tháng 06 năm 2025),2.099,3.958,,2099.0,3958.0
Ông Trần Xuân Huy,Ông Phạm Quốc Thanh > Ông Trần Xuân Huy,Ông Trần Xuân Huy,Phó Tổng Giám đốc(dến ngày 14 tháng 01 năm 2025),544,4.645,,544.0,4645.0
Ông Lê Thành Trung,Ông Phạm Quốc Thanh > Ông Lê Thành Trung,Ông Lê Thành Trung,Phó Tổng Giám đốc(dến ngày 16 tháng 12 năm 2024),-,2.700,,,2700.0
Ông Phạm Văn Đầu,Ông Phạm Quốc Thanh > Ông Phạm Văn Đầu,Ông Phạm Văn Đầu,Giám đốc Tài chính,1.959,1.940,,1959.0,1940.0
Bà Hồ Đăng Hoàng Quyên,Ông Phạm Quốc Thanh > Bà Hồ Đăng Hoàng Quyên,Bà Hồ Đăng Hoàng Quyên,Kế toán Trường,2.769,1.304,,2769.0,1304.0
