row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty con,Thu hồi gốc cho vay,9.600.000.000,47.000.000.000,,,9600000000.0,47000000000.0
Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty con,Cho vay,9.600.000.000,-,,,9600000000.0,
Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giáng Võ,Công ty con,Lợi nhuận được chia,40.000.000.000,-,,,40000000000.0,
Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty con,Mua cổ phần bổ sung,-,45.000.000.000,,,,45000000000.0
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Cho vay,23.000.000.000,52.600.000.000,,,23000000000.0,52600000000.0
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty con,Lợi nhuận được chia,712.500.000.000,530.000.000.000,,,712500000000.0,530000000000.0
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty con,Doanh thu cung cấp dịch vụ,94.196.890.527,67.799.019.278,,,94196890527.0,67799019278.0
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty con,Nhận chuyển nhượng cổ phần Công ty cổ phần Logistics LSH,244.800.000.000,-,,,244800000000.0,
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty con,Chuyển nhượng phần vốn góp của Công ty TNHH An Biên Golf and Resort,41.300.000.000,-,,,41300000000.0,
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty con,Mua hàng hóa,144.012.077.276,-,,,144012077276.0,
