row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,"Nhà cửa, vật kiến trúc và máy móc thiết bị",
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,348.433.822.544,348433822544.0
- Điều chỉnh giá trị quyết toán XDCB,Nguyên giá: > - Điều chỉnh giá trị quyết toán XDCB,- Điều chỉnh giá trị quyết toán XDCB,2.045.027.134,2045027134.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,350.478.849.678,350478849678.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,11.455.358.550,11455358550.0
- Khấu hao trong kỳ,Giá trị khấu hao lũy kế: > - Khấu hao trong kỳ,- Khấu hao trong kỳ,11.455.358.548,11455358548.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,22.910.717.098,22910717098.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,336.978.463.994,336978463994.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,327.568.132.580,327568132580.0
