row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chỉ phí lãi vay phải trả,Ngắn hạn > Chỉ phí lãi vay phải trả,Chỉ phí lãi vay phải trả,45.991.406.340,58.715.361.421,45991406340.0,58715361421.0
Trích trước chi phí phát triển bất động sản,Trích trước chi phí phát triển bất động sản,Trích trước chi phí phát triển bất động sản,,,,
Dự án Terra An Hung,Trích trước chi phí phát triển bất động sản > Dự án Terra An Hung,Dự án Terra An Hung,14.301.096.458,111.532.000.434,14301096458.0,111532000434.0
Trích trước chi phí phát triển bất động sản,Trích trước chi phí phát triển bất động sản,Trích trước chi phí phát triển bất động sản,,,,
Dự án Khu đỏ thị mới Văn Phú,Trích trước chi phí phát triển bất động sản > Dự án Khu đỏ thị mới Văn Phú,Dự án Khu đỏ thị mới Văn Phú,-,99.950.641.403,,99950641403.0
Chi phí phải trả khác,Trích trước chi phí phát triển bất động sản > Chi phí phải trả khác,Chi phí phải trả khác,19.207.036.885,9.624.807.505,19207036885.0,9624807505.0
TỔNG CỘNG,Trích trước chi phí phát triển bất động sản > TỔNG CỘNG,TỔNG CỘNG,79.499.539.683,279.822.810.763,79499539683.0,279822810763.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Chi phí phải trả ngắn hạn cho bên liên quan (Thuyết minh số 29),Trong đó: > - Chi phí phải trả ngắn hạn cho bên liên quan (Thuyết minh số 29),- Chi phí phải trả ngắn hạn cho bên liên quan (Thuyết minh số 29),5.445.460.958,1.979.679.452,5445460958.0,1979679452.0
- Chi phí phải trả ngắn hạn cho bên khác,Trong đó: > - Chi phí phải trả ngắn hạn cho bên khác,- Chi phí phải trả ngắn hạn cho bên khác,74.054.078.725,277.843.131.311,74054078725.0,277843131311.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Trích trước chi phí phát triển bất động sản,Trích trước chi phí phát triển bất động sản,Trích trước chi phí phát triển bất động sản,,,,
Dự án Khu đỏ thị mới Văn Phú,Trích trước chi phí phát triển bất động sản > Dự án Khu đỏ thị mới Văn Phú,Dự án Khu đỏ thị mới Văn Phú,88.094.788.346,-,88094788346.0,
Chi phí lãi vay phải trả,Trích trước chi phí phát triển bất động sản > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,84.119.752.461,45.332.299.928,84119752461.0,45332299928.0
TỔNG CỘNG,Trích trước chi phí phát triển bất động sản > TỔNG CỘNG,TỔNG CỘNG,172.214.540.807,45.332.299.928,172214540807.0,45332299928.0
