row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ chuyển nhượng bắt động sản,Ngắn hạn > Phải thu từ chuyển nhượng bắt động sản,Phải thu từ chuyển nhượng bắt động sản,11.627.039.257,14.193.408.415,11627039257.0,14193408415.0
Phải thu từ hoạt động khác,Ngắn hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,67.759.694.537,85.910.741.761,67759694537.0,85910741761.0
- Công ty TNHH MTV Đầu tư Hùng Sơn,Ngắn hạn > - Công ty TNHH MTV Đầu tư Hùng Sơn,- Công ty TNHH MTV Đầu tư Hùng Sơn,33.380.799.051,55.401.995.645,33380799051.0,55401995645.0
- Phải thu khách hàng khác,Ngắn hạn > - Phải thu khách hàng khác,- Phải thu khách hàng khác,34.378.895.486,30.508.746.116,34378895486.0,30508746116.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,79.386.733.794,100.104.150.176,79386733794.0,100104150176.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 29),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 29),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 29),42.257.720.580,59.144.442.185,42257720580.0,59144442185.0
Phải thu ngắn hạn từ các bên khác,Trong đó: > Phải thu ngắn hạn từ các bên khác,Phải thu ngắn hạn từ các bên khác,37.129.013.214,40.959.707.991,37129013214.0,40959707991.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ hoạt động khác,Dài hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,11.976.673.775,20.202.866.956,11976673775.0,20202866956.0
- Công ty TNHH Hồ Tây Một Thành Viên,Dài hạn > - Công ty TNHH Hồ Tây Một Thành Viên,- Công ty TNHH Hồ Tây Một Thành Viên,11.976.673.775,20.202.866.956,11976673775.0,20202866956.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,11.976.673.775,20.202.866.956,11976673775.0,20202866956.0
Dự phòng phải thu ngắn hạn khó đòi,Dài hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(21.718.695.257),(21.718.695.257),-21718695257.0,-21718695257.0
