row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị(đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị(đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị(đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị(đồng thời là số có khả năng trả nợ) > Số đầu năm
Công ty Cổ phần Đầu tư và Xây dựng CGM,Công ty Cổ phần Đầu tư và Xây dựng CGM,Công ty Cổ phần Đầu tư và Xây dựng CGM,44.605.524.297,39.368.927.378,44605524297.0,39368927378.0
Công ty Cổ phần Đầu tư CIC,Công ty Cổ phần Đầu tư CIC,Công ty Cổ phần Đầu tư CIC,6.241.935.411,6.241.935.411,6241935411.0,6241935411.0
Công ty TNHH Hồ Tây Một Thành Viên,Công ty TNHH Hồ Tây Một Thành Viên,Công ty TNHH Hồ Tây Một Thành Viên,-,9.196.945.532,,9196945532.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,22.703.557.837,51.930.367.843,22703557837.0,51930367843.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,73.551.017.545,106.738.176.164,73551017545.0,106738176164.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả các bên liên quan(Thuyết minh số 29),Trong đó: > Phải trả các bên liên quan(Thuyết minh số 29),Phải trả các bên liên quan(Thuyết minh số 29),2.430.546.165,4.238.595.783,2430546165.0,4238595783.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,71.120.471.380,102.499.580.381,71120471380.0,102499580381.0
