row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8)
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Phải thu lãi cho vay ngắn hạn,8.801.983.563,1.627.360.275,,,8801983563.0,1627360275.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải thu lãi cho vay ngắn hạn,581.095.892,161.794.521,,,581095892.0,161794521.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,9.383.079.455,1.789.154.796,,,9383079455.0,1789154796.0
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Công ty Cổ phần Đầu tư Phong Phú,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty liên kết,Đặt cọc góp vốn hợp tác đầu tư (i),352.617.690.000,352.617.690.000,,,352617690000.0,352617690000.0
Công ty Cổ phần Văn Phú - Bắc Ái,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Văn Phú - Bắc Ái,Công ty Cổ phần Văn Phú - Bắc Ái,Công ty con,Vốn góp theo huy động để thực hiện đầu tư (ii),148.867.271.665,103.968.040.993,,,148867271665.0,103968040993.0
Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty con,Đặt cọc góp vốn hợp tác đầu tư (iii),100.000.000.000,100.000.000.000,,,100000000000.0,100000000000.0
Công ty Cổ phần Tập đoàn Phú Mỹ,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Cùng thành viên HĐQT,Góp vốn hợp tác đầu tư,340.000.000,340.000.000,,,340000000.0,340000000.0
TỔNG CỘNG,Phải thu dài hạn khác (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,,,601.824.961.665,556.925.730.993,,,601824961665.0,556925730993.0
