row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Đặc cọc hợp tác đầu tư (*),Ngắn hạn > Đặc cọc hợp tác đầu tư (*),Đặc cọc hợp tác đầu tư (*),250.000.000.000,-,250.000.000.000,-,250000000000.0,,250000000000.0,
Lãi cho vay dự thu,Ngắn hạn > Lãi cho vay dự thu,Lãi cho vay dự thu,103.281.272.295,-,69.505.672.150,-,103281272295.0,,69505672150.0,
Tạm ứng đề phục vụ phát triển các dự án,Ngắn hạn > Tạm ứng đề phục vụ phát triển các dự án,Tạm ứng đề phục vụ phát triển các dự án,98.445.547.978,-,92.365.578.899,-,98445547978.0,,92365578899.0,
Tạm ứng bởi thường giải phóng mặt bằng,Ngắn hạn > Tạm ứng bởi thường giải phóng mặt bằng,Tạm ứng bởi thường giải phóng mặt bằng,8.630.092.171,-,9.364.204.304,-,8630092171.0,,9364204304.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,53.372.270.809,(1.280.196.400),84.889.068.455,(1.280.196.400),53372270809.0,-1280196400.0,84889068455.0,-1280196400.0
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 29),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 29),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 29),9.383.079.455,-,1.789.154.796,-,9383079455.0,,1789154796.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,523.112.262.708,(1.280.196.400),507.913.678.604,(1.280.196.400),523112262708.0,-1280196400.0,507913678604.0,-1280196400.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Lãi cho vay dự thu,Dài hạn > Lãi cho vay dự thu,Lãi cho vay dự thu,26.343.504.096,-,-,-,26343504096.0,,,
Phải thu về góp vốn hợp đồng hợp tác đầu tư (**),Dài hạn > Phải thu về góp vốn hợp đồng hợp tác đầu tư (**),Phải thu về góp vốn hợp đồng hợp tác đầu tư (**),16.000.000.000,-,12.000.000.000,-,16000000000.0,,12000000000.0,
Phải thu dài hạn khác từ các bên liên quan (Thuyết minh số 29),Dài hạn > Phải thu dài hạn khác từ các bên liên quan (Thuyết minh số 29),Phải thu dài hạn khác từ các bên liên quan (Thuyết minh số 29),601.824.961.665,-,556.925.730.993,-,601824961665.0,,556925730993.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,644.168.465.761,-,580.046.689.778,-,644168465761.0,,580046689778.0,
